,TSLA.US
0,0.3699253080747508
1,0.917495447541661
2,0.388363061324159
3,0.2690354152654463
4,-0.1713392924558464
5,-0.1879546115798672
6,0.3455460924900096
7,0.0855883416302697
8,-0.3070928926941577
9,-1.1312890846278678
10,0.8667004762395302
11,-0.2651804596492421
12,0.2657459268508217
13,0.1311218312321132
14,-0.0340168920295441
15,0.0668946903066605
16,-0.4440497335701545
17,-0.1064514242264687
18,-0.4134824819379738
19,0.3505808679366861
20,-0.0380562060889983
21,0.0760545252442493
22,0.4557731400289607
23,-0.4790220838648443
24,-0.6182143614140034
25,-0.2133896673251507
26,0.7245220581449557
27,0.9033431697215348
28,0.7810756262614367
29,-0.3403788806144986
30,-0.0813104367412787
31,-0.458978526820088
32,-0.6228995647622809
33,0.3496491498962051
34,0.4321831226511741
35,-0.3053367099712355
36,-0.4324519665120819
37,0.1074381585959121
38,-0.3603089150794185
39,0.197747895108389
40,-0.6830023952496439
41,0.1929009542100359
42,0.4521434313123794
43,0.4802944709055917
44,0.7099825942276576
45,0.0794685994445716
46,0.0258762916044026
47,0.1285020545386624
48,-0.1459491087718083
49,0.2778098080445079
50,-0.8031309442377791
51,-0.3532713301303257
52,0.8435314685314632
53,0.107692755479234
54,-0.516376296426321
55,0.0424038602134761
56,-0.5188353395946284
57,0.1632323886867774
58,-0.3382435804318955
59,-0.4298824492120752
60,-0.7115414313539019
61,0.6189450066747362
62,0.188785157173248
63,-0.5682366835775953
64,0.1387096295637039
65,-0.196224481044148
66,-0.130962835072264
67,0.2523865374051762
68,-0.2542785597510107
69,0.1913986481467762
70,0.2389286181116888
71,-0.4551402773538928
72,0.1360352056138627
73,-0.5428043851861788
74,0.3888177486599208
75,0.1033582596872949
76,0.7710313471799722
77,-0.0060714815764362
78,-0.2301790246743602
79,-0.33349615337648
80,0.6108908487741691
81,-0.1404456448345663
82,0.3136787268044221
83,-0.0235775696655975
84,0.0336516782091922
85,-0.1341133021525528
86,0.1144380418977897
87,-0.1750190131042351
88,-0.092105618402232
89,-0.2178118700704863
90,-0.0028140462033928
91,0.0068452399473094
92,0.1816500010127645
93,-0.2864184824560228
94,0.1541436239977419
95,0.0810624586243577
96,0.0513132131523861
97,-0.0027007683685984
98,-0.0405279440173938
99,-0.1149611836944497
100,-0.6155834813609238
101,0.5161649424609739
102,0.4608382972045324
103,0.1104136422189133
104,0.5701859782960967
105,-0.0493458521821278
106,-1.083970721276423
107,-0.0493705257961016
108,0.1136970726428461
109,-0.2816088796087634
110,0.2630569408669862
111,0.2119136486061488
112,-0.1506168444401721
113,-0.4677204132447541
114,0.1023808705809605
115,0.5908469945355254
116,0.4582727062567149
117,-0.3479708523238932
118,0.3948486187094325
119,-0.0911496418635439
120,-0.2666757604692303
121,0.303007596200924
122,-0.2948443900320577
123,0.3931201260766775
124,0.3776138593760678
125,-0.2449528736225778
126,-0.240454102489464
127,-0.398988551315771
128,0.2863477985429193
129,0.0164812870250935
130,-0.217744853459276
131,0.3939148688636548
132,0.278692038991669
133,-0.648575925267809
134,-0.0150426239413883
135,-0.4157425111535953
136,-0.2427804753386119
137,-0.1488924563928098
138,-0.0264326766765236
139,0.1112517438624518
140,0.1812206452930345
141,0.1209353540810526
142,-0.3798720409468986
143,-0.1923076923076923
144,0.0051279421568078
145,0.1804338089449205
146,-0.1088905969766875
147,-0.3561189462993175
148,0.056535649581757
149,0.413307741522715
150,0.5379671294441396
151,-0.1418828258131799
152,-0.1143807992295036
153,-0.3739888542206419
154,-2.18630209481808
155,0.5761540620176737
156,-0.8062234794907965
157,-0.587778709376645
158,0.0346761720208425
159,-0.3058178141128148
160,0.8631459849820894
161,0.5991473236765277
162,-0.5649618172085811
163,-0.2951232264868156
164,-0.1699785316439886
165,0.500362095431555
166,0.7312407480263671
167,-0.2223169327838166
168,0.0483083301127739
169,-0.4818809242229041
170,0.4340949033391963
171,-0.1271738286924414
172,-0.2650610912619631
173,0.3481288076588369
174,0.6472067917409148
175,-0.4499806834911647
176,-0.947572569934862
177,-0.1869119401881772
178,0.3116019075089662
179,-0.7434352861324388
180,-0.1597593412476424
181,-0.0539691332268215
182,-0.8195143904163871
183,-0.0611135532706404
184,0.0072366075855723
185,0.5859175369081441
186,0.1034255535646752
187,0.0791195463685
188,-0.4756712844193652
189,0.1686052715825462
190,0.065584959182695
191,0.5057815964423258
192,1.3995568596520995
193,-1.169515563975829
194,-0.4048884165781026
195,0.936940730603219
196,1.5494636471990513
197,1.0166605113053435
198,-0.7681352870831165
199,0.8812517291199085
200,0.4143646408839779
201,0.2370170052342994
202,0.2172528052241867
203,-0.3615609648396453
204,-0.0850753524550295
205,-0.0383427996610276
206,-0.2024686982572987
207,-0.3584607860572673
208,0.2981038819996293
209,0.0254819410591644
210,0.2905338974625228
211,0.1813921433494122
212,-0.3435608617236706
213,0.2119820481601908
214,-0.110512981185484
215,0.0585382558935946
216,0.0480315351872341
217,0.2219969812817419
218,-0.0760766499812499
219,-0.1457500607291975
220,-0.0817751845467012
221,0.0143638473012535
222,0.0583825569218966
223,0.2468881496331897
224,0.1847168774051621
225,-0.5195989061075702
226,-1.5769050600391683
227,0.8833649199932061
228,-0.5606633416399078
229,0.3650516326586959
230,-0.4136619237126175
231,0.2912977110481366
232,-0.2116378001588823
233,1.1386547842372383
234,-0.0980470925508398
235,0.117948165182878
236,-0.4013275589335656
237,-0.1100000000000018
238,0.3387386702684818
239,-0.2778482607003072
240,-0.4014494486393034
241,0.3126375238374726
242,-0.3944092375521851
243,0.3298074364925761
244,-0.2197326119182161
245,0.3417631050880834
246,0.1025181008521925
247,0.2328682057276405
248,-0.1531143416856107
249,-0.4147403223584609
250,-0.3700803120345154
251,0.1410761657951572
252,-0.1828125480074877
253,-0.0515981834119584
254,0.0016445978036231
255,0.2185448745475668
256,0.0053674807345906
257,-0.1959127228027183
258,0.1947643657889636
259,0.2905332048870708
260,0.2615585227662548
261,0.3205413248990829
262,0.0632928604407645
263,-0.3647352825425301
264,-0.1845526343929889
265,-0.129741444055009
266,0.0990510536208148
267,0.0473484848484938
268,-0.0076221596190172
269,0.0457883567186252
270,0.0045801526717515
271,-0.1912045889101338
272,0.2142550671697279
273,0.0878867826697055
274,0.1917837410006226
275,1.0555910543131075
276,0.7988492243927916
277,0.429854162634325
278,0.4696639817796522
279,-0.2937954671460468
280,0.745414096615846
281,-0.4035193463592775
282,0.1354333868378911
283,0.1652561470278947
284,-0.2845807456015611
285,0.0184106580973444
286,-0.0192009813760475
287,0.2565695650656489
288,0.311282816109954
289,0.4957226735567543
290,0.2544171946374082
291,-0.1306832750221191
292,0.7657835122623796
293,-0.0916167397059292
294,0.2012954005083302
295,0.1513161492413936
296,0.265480078380148
297,0.2280873248615147
298,-0.7088009450679162
299,-0.4300756339908075
300,1.2338816827794798
301,0.1853751465416158
302,0.4246253520304633
303,0.0626039662594825
304,0.0380029154519012
305,0.4050726048472607
306,0.8778223891551087
307,-0.4031354433081031
308,0.259417783542287
309,0.2773665981633536
310,0.0165242943048673
311,-0.0992441622138718
312,-0.8061534446385641
313,0.0539512595365692
314,-0.1948963664742855
315,-0.8072188638925054
316,0.143220471392508
317,0.3321485279764681
318,0.1940957102667068
319,-0.0152682855896327
320,-0.2602363266585629
321,0.029878155424713
322,-0.3260758309084821
323,-0.3111760076917559
324,-0.3013740952156756
325,1.5355979525360632
326,1.4220183486238531
327,0.2436708498735803
328,0.8410243844890468
329,0.7422376084529735
330,-1.0747884355382809
331,0.0877807391774915
332,0.035454482545976
333,-0.3815378717344952
334,-0.4824540927517756
335,-0.3940976058931858
336,-0.6021306160259379
337,0.1950795573265687
338,-0.3953401250548998
339,0.8621266367031135
340,0.1552999329296845
341,0.914015203240927
342,-0.4526840834644814
343,0.4524565987236795
344,-0.0915746743632014
345,0.3565849918702938
346,-1.2895609323817032
347,0.0817727381324222
348,0.6236930297966311
349,-0.5223058564347188
350,-0.6562559877371275
351,0.011016222585173
352,-0.6925588506223929
353,0.0795231042519869
354,-0.4550568324845594
355,-0.0087144281882624
356,0.3421736227173998
357,-0.3093541892519881
358,-0.1211392908021359
359,-0.0175925194474799
360,-0.1056180865515299
361,0.1743510267338417
362,0.0503330413132719
363,-0.5744678779381235
364,-0.4558081302085339
365,-0.3299319527614349
366,-0.357308173375227
367,-0.1794383767254835
368,0.3915049605173285
369,-0.0526057030481777
370,-0.4498811392458574
371,-0.2420990099009901
372,-0.4765173446344508
373,0.2451174976182829
374,-0.4245480456837606
375,0.1597896440129529
376,0.3574019831779174
377,0.3080797256750903
378,0.0227659261044919
379,0.1851319650053789
380,-0.1431773758328525
381,0.1462961673344837
382,0.1812945105842043
383,-0.1078949937818035
384,0.0052221762183914
385,0.081404969706677
386,-0.2401193239203088
387,0.0307579151482756
388,-0.086316961396684
389,0.1002700968069777
390,0.1361997596474805
391,-0.2100812224853727
392,0.5734128040019086
393,-0.0785566873044446
394,-0.2201761409127271
395,-0.2877216460354603
396,0.2868961836135545
397,0.3112778354218256
398,-0.0039909007462948
399,0.0053209178583257
400,-0.0024714241581688
401,-0.2825383843265515
402,0.1089311134492783
403,0.1618962875080263
404,-0.1782920044436091
405,0.0696785569313447
406,0.1379911045218664
407,-0.0420240773243062
408,0.1641185108404645
409,-0.1692168682889601
410,0.0320037564254664
411,-0.0840959683403351
412,0.0
413,0.0556207898152069
414,0.0889141361127267
415,0.0837437335638947
416,-0.06404257158027
417,0.0271554650373421
418,-0.1350831727451605
419,-0.0620984348621975
420,0.1642208461695229
421,-0.1465314702609058
422,0.3690177829044876
423,-0.2191944883445298
424,0.166405758871895
425,-0.1758650450377544
426,1.2312921122696368
427,-0.4647340107591003
428,-0.0717789209235581
429,0.6300523062291977
430,0.251978774493809
431,-0.5200024613737869
432,-0.3498647413938928
433,-0.5704652724866994
434,0.1672145913082555
435,-0.3451336338390036
436,0.3753526622246292
437,-0.3221824094426525
438,-0.1024806341742869
439,-0.3495158786919341
440,0.0287412366442496
441,-0.4959318093762123
442,0.2205848910720033
443,0.0042447524248178
444,-0.0072772479873863
445,0.0734764988827047
446,0.1746593733888921
447,-0.8104875976081012
448,-0.2252001711386808
449,-0.1683656289221573
450,0.8561800843572377
451,-1.515755140945494
452,-0.6679707174231361
453,0.7275060447210577
454,-0.4504584477019297
455,-0.0677910632677545
456,-0.0128702701319024
457,0.8541775320746953
458,0.418946056367287
459,-0.3091029069565603
460,0.0898715773329358
461,-0.188541497670748
462,-0.5312332533376896
463,0.1181063422523969
464,-0.2092933524611277
465,-0.0653528423410849
466,0.0075836682786886
467,0.0925633329140871
468,0.1891626188883396
469,0.1063409418437168
470,-0.3662661845328473
471,-0.0641960898745205
472,-0.1359651803844133
473,0.1858769453323688
474,-0.290160290160279
475,1.8833488716972644
476,-1.2201427900726896
477,-2.193802425425625
478,0.0869649880379819
479,0.538266774082177
480,0.0675931673395792
481,1.095030712730349
482,-0.6789588207385071
483,0.5758251053239364
484,0.7884699860793715
485,-0.853778282616113
486,-0.2627447780679018
487,-0.2377374798518529
488,0.1817914639323498
489,1.2457553056663644
490,0.662160430548439
491,-0.757374879181367
492,-0.3797447848069728
493,0.8985679424608239
494,-0.7081649151172184
495,0.0290942005560144
496,-0.2471016195283158
497,1.1603139013452923
498,-0.5127049411234348
499,-0.6766173991961735
500,-0.0892087015940272
501,0.1174532641462048
502,-0.0807916122293681
503,-0.2675980412727209
504,0.2346821618594258
505,-0.02240770825165
506,0.2040531097134921
507,-0.1287329440044557
508,-0.1186297292518544
509,-0.0864795341351455
510,0.3135903600984087
511,0.031764118787465
512,0.2255283288678422
513,-0.1263297677411372
514,-0.0754303118363681
515,0.0635284097652298
516,-0.0534203108380472
517,-0.215429561337355
518,-0.1575781370500825
519,0.1541711327574264
520,0.0804927938385585
521,-0.1008645109415452
522,0.098442986444333
523,0.015385906509639
524,-0.1695318958149491
525,0.8397823662600161
526,0.5712173650078924
527,-0.0151227462907317
528,-0.1093392544744948
529,-0.2090216438540909
530,-0.2390909474929182
531,0.5551236228398891
532,0.0578699330431799
533,-0.3596423901733206
534,-0.0057980296811935
535,0.0767480906028459
536,-0.0995835932363544
537,-0.0118023941999555
538,0.4030226700251851
539,0.3497381147609618
540,0.3568272389241803
541,-0.0133911515339648
542,-0.464265262651408
543,-0.0701807329913103
544,0.3626608044020332
545,0.0849551023133181
546,-0.3181300649655041
547,0.0719460571887412
548,-0.2179854788134806
549,0.4972053057478965
550,1.9431376559623743
551,0.3392594533991361
552,-0.1297565242746736
553,0.7581676650172193
554,-0.1536053790864748
555,-0.3158857229247561
556,-0.0053789233430785
557,0.3549078688144694
558,0.290035936723623
559,-0.0874916946499331
560,0.2061885416185825
561,0.3954568446222399
562,0.0798322947477299
563,-0.4557911438050024
564,-0.1618076222947794
565,-0.2999521815362676
566,-0.049291792916484
567,-0.2041068328575643
568,-0.4106338575791535
569,-0.2932651281487828
570,-0.0332934397435517
571,0.0398191898652698
572,0.1912687983647168
573,-0.1784460566346869
574,0.569751843229253
575,-0.4545186979153504
576,-1.3586510197191557
577,2.41868569670051
578,-1.264212920070748
579,-0.6544702351684522
580,0.1278480048091162
581,-0.3134109320036488
582,-0.385367642043498
583,-0.1263445449889037
584,-0.5586352388739875
585,-0.1932661331420319
586,-0.1279324124151711
587,0.619650804519001
588,-0.5001784815733951
589,0.2971741696883949
590,-0.0798458596407106
591,0.0729092515244913
592,-0.2209042461749988
593,0.120192307692296
594,-0.3255757868081491
595,0.9909264565425124
596,0.7137595570118482
597,-0.1140096208862258
598,-0.0818656893684819
599,-0.589665912872815
600,-0.0377740068341948
601,0.3290007182410083
602,0.0441638932035062
603,-0.1451150924798503
604,-0.0127574689181682
605,-0.2266677515721495
606,0.0174329412858643
607,0.0185916802230964
608,-0.0893896175459505
609,0.1241143134062359
610,0.5246002033647684
611,-0.2804106509698584
612,0.0486426387473446
613,0.3024043396581427
614,0.5718565655014141
615,0.4013378308844437
616,-0.1959121946748456
617,-0.1870961077122617
618,0.202753785882836
619,-0.0997580580431372
620,0.0487086477906278
621,-0.1871616307174715
622,0.2171173235563682
623,-0.2987818892208583
624,-0.0103435197848584
625,-0.8802197028378284
626,-0.1798878346442774
627,-0.0532892902642853
628,-0.2876271756078791
629,0.3209245879430953
630,0.0662802668133332
631,0.6684160694972303
632,0.1787432183007921
633,-0.2250003328407299
634,-0.0777699859747492
635,0.0308460222652235
636,-0.048395581273018
637,-0.3540458359141824
638,0.0112606272169417
639,0.035177081427908
640,-0.2496755628279771
641,-0.1709881407621981
642,0.0158373150311879
643,0.2266608403929841
644,-0.3976677705131394
645,0.1060406709302492
646,0.0748552055375049
647,0.0592952337926463
648,-0.2136359134703958
649,-0.2937253455174868
650,-0.218853974121999
651,0.3507065705907483
652,-0.203913184072619
653,-0.4135159979835701
654,-0.1159157230794435
655,0.0283289061688539
656,-0.3655111533700705
657,0.046759858871876
658,0.4859187271299644
659,-0.2718440833061055
660,0.4981154386224233
661,-0.2140407788418003
662,0.3167220376522675
663,-0.1301063027632797
664,0.2779190717355553
665,-0.3143035088375732
666,-0.4232860028517181
667,0.0319230283818041
668,-0.1854225037318743
669,0.2496694395020469
670,0.0598960457339484
671,-0.216517672368891
672,0.2182694446504048
673,0.0903757259689483
674,0.3042746152255392
675,-0.2483135010956379
676,1.0301177104256118
677,0.453225627365743
678,0.3087527839643665
679,-0.0551528960841448
680,-0.1456148181209495
681,-0.7594623613601734
682,0.2585811800133817
683,-0.0191570000272533
684,0.113008363985743
685,0.1746015769166231
686,0.1630173847991912
687,-0.1296998300296145
688,-0.3502639152213183
689,0.0831885390160021
690,-0.0308366833184858
691,-0.2168079969820178
692,0.2001121516290057
693,0.1500464898875179
694,0.1429995257577429
695,0.0090904008497853
696,-0.1298715838735283
697,0.1669082232785586
698,-0.0003688469620513
699,-0.1208594449418002
700,-0.2811876041162079
701,1.49266411827724
702,-0.1439976689976692
703,0.3588937932649167
704,-0.4737757138023257
705,0.0618149095322953
706,-0.5059519379646912
707,0.4267592484537227
708,-0.4308129094322431
709,0.0487090576823942
710,0.3083103657682051
711,-0.4286761471924905
712,0.1896294610597066
713,-0.660456730769236
714,-0.4173881681565206
715,0.4753933760066215
716,-0.2502036232242592
717,0.2801827150610448
718,0.3312474405473596
719,-0.2827624348398981
720,-0.112537221335502
721,-0.1444936169991831
722,-0.1293359557264504
723,0.1395596116300637
724,-0.4179173428412355
725,-0.2275940062199623
726,0.2594326321132524
727,0.2103456281173721
728,0.0443006820898587
729,-0.327331942018543
730,-0.3028913942868487
731,0.0664865782253277
732,-0.1331218489775025
733,-0.0042487501593242
734,0.1329505112937132
735,-0.1345456605483701
736,-0.0028326204571984
737,0.0764223039909534
738,0.2315599231898772
739,-0.0190649691782985
740,-0.2216721855898049
741,0.0793522951990249
742,0.0972889500182542
743,0.0235184439689022
744,0.1896235725362912
745,0.0126869563991643
746,0.0169130808586213
747,-0.0935745345220532
748,-0.2271788925965791
749,0.0762948938935776
750,1.1487358495813933
751,0.3830154329714765
752,0.0909780451277628
753,0.2831339452397995
754,0.1641944262633909
755,-0.1649345092680841
756,-0.6193842265335207
757,-0.0959159276043335
758,-0.4720670391061446
759,-0.0587076299935266
760,0.6194239208932852
761,0.1089029930981974
762,-0.2147981314648082
763,-0.1308572542250105
764,-0.360540147988277
765,-0.1594413814334923
766,0.1201850673932333
767,0.1520020888425143
768,0.0712472806381425
769,0.2941619776316724
770,-0.5263267508593745
771,-0.1692753126447902
772,-0.3429570934839425
773,-0.4991210668624513
774,0.1993912577854132
775,0.1565546980142305
776,0.9216454007758274
777,0.5826091112652315
778,-0.1350918145738507
779,0.2229990899835034
780,-0.4489053407064655
781,0.1228002062790201
782,-0.1809702173408432
783,0.7504718592151799
784,0.1409095396656013
785,-0.0817674120888045
786,-0.1339911314187107
787,0.0692097504853654
788,-0.016181520703342
789,0.0035957641897811
790,-0.5431982718883588
791,0.2191479383860463
792,0.0463512915892934
793,-0.1653781150831577
794,0.0196255439001929
795,-0.1482686918000271
796,-0.5280334704456552
797,-0.5161605642037417
798,-0.0694866045166561
799,-0.0054762209504279
800,0.4553122789195758
801,-0.0490018148820293
802,0.1449800652410293
803,-0.1960923596611982
804,-0.2227641329509146
805,0.1431697503600978
806,-0.5224177237388178
807,-0.0905419498845229
808,0.100679476875879
809,-0.5193192153397527
810,-0.5671405886480232
811,0.2056399899759691
812,-0.4754428579892227
813,0.2006009899823758
814,0.229253075928849
815,0.1168715429430033
816,-0.6531150846603168
817,0.9283468962072824
818,-0.642144722274664
819,-0.1237862640615656
820,-0.3118040089086893
821,-0.3135263146136057
822,-0.2935333044530469
823,0.1104197442439991
824,0.1281611850438898
825,0.3536894611542989
826,-0.2224521159860565
827,-0.3902099329439238
828,-0.0823119442441655
829,0.251708018698299
830,0.0467239334363775
831,-0.3402014762099441
832,0.3073973095245157
833,0.2993081858697854
834,0.0851197944709236
835,-0.0911719720868026
836,-0.1539504371503034
837,-0.0183855214018939
838,0.1688468584088122
839,0.1130341370255434
840,0.3804994054696843
841,-0.2240442368195246
842,-0.1312617837283147
843,0.152508042416296
844,0.2644009387718752
845,-0.2316634507729979
846,0.1308464576295271
847,0.457053543941082
848,0.0532550681073202
849,0.1783815711754271
850,0.7447986311809032
851,1.1644431307234442
852,-0.0034107381405793
853,0.0724256926594417
854,0.9355392363749035
855,0.542885126626556
856,-0.4306418708231829
857,0.4565955834917183
858,-0.4347256805654061
859,0.3408938172043004
860,0.0405861195471097
861,-0.0742296918767468
862,-0.1857786708125368
863,-0.565823514653308
864,0.1147037266730584
865,-0.1373734362709618
866,-0.3181123099142005
867,0.4875162035732452
868,0.1575600697766029
869,0.2931564108678156
870,-0.1460899858124097
871,0.3318119452300289
872,-0.2315432003480132
873,0.2212296447724052
874,0.590175800008337
875,0.1190198152786636
876,0.8207949959881125
877,0.3687819110138614
878,-0.834032037421114
879,-0.1348181148530149
880,-0.0353188197591018
881,-0.4150206400639101
882,0.4448437891263653
