,ANSS.US
0,-0.4796839729119768
1,-0.0621153086001384
2,0.1691188905800682
3,0.3342978340871574
4,0.0505405025972062
5,0.3581120778893852
6,-0.2355646540845318
7,0.1595923395677147
8,0.2457825941235603
9,-0.4601571268238056
10,0.0518810381816403
11,-0.2572609441335967
12,0.0955029353107988
13,0.447414781465849
14,0.0670672069302805
15,0.1423149905123314
16,-0.0611211614640205
17,-0.0561826004358263
18,-0.1524923404076766
19,0.0573266219239488
20,-0.3113691828662833
21,-0.5329949238578642
22,-0.2643744786733214
23,0.3872803064443443
24,0.1265858392641111
25,-0.4227019106126359
26,0.0816556384626111
27,-0.0873633186788418
28,-0.3223070398642879
29,-0.5686664771111744
30,-0.3395052922883791
31,-0.1299795746382666
32,-0.3195391757895366
33,-0.1981335247666899
34,0.1290507599655832
35,-0.0243821981268676
36,-0.1306870404411718
37,0.2120951562052027
38,0.4110292858366152
39,-0.0799862880648953
40,0.142628936558649
41,-0.0656523848942477
42,0.1282855350932176
43,-0.1084474885844735
44,0.1054822248196837
45,0.0612561790389993
46,-0.0441809423367527
47,0.123838127909129
48,-0.022780016230757
49,-0.1668568168853335
50,0.332801212153998
51,-0.3693343834016666
52,-0.4747742093918004
53,0.3304279245590827
54,-1.056725114054848
55,0.1618877761009672
56,0.401727153476177
57,0.0259552204144558
58,-0.2272820625162545
59,-0.1838058790447624
60,-0.2364878799961539
61,0.1880111983312297
62,-0.0741615623369082
63,0.0823338913741557
64,-0.0137241985068103
65,0.0973469527661666
66,0.1437568455640682
67,0.2553702869160288
68,-0.0343707207359732
69,-0.0653962872843697
70,-0.2219421306444548
71,0.0451900034234907
72,-0.4263219418276865
73,-0.0165055087135337
74,0.1167774907951891
75,0.4102328899760375
76,0.4110840438489659
77,-0.1448247452860705
78,0.035539184554796
79,0.2179919393678268
80,0.0405401981402247
81,-0.0354852609434119
82,0.2238407182730307
83,-0.1481903604082798
84,0.2879005985302025
85,-0.6302574398332914
86,-0.1195867894763694
87,-0.0636504824706571
88,-0.0738891153689267
89,0.1602604868866209
90,0.2663892835396821
91,0.0532494865228033
92,-0.2363765758438407
93,0.0685783952655461
94,0.104029229676247
95,0.1798242281488183
96,0.0227894257064802
97,0.0834914611005652
98,-0.1571091908876681
99,0.3987784255823892
100,-0.3310263705000578
101,-0.2633022490400383
102,0.0054851626350671
103,0.071256303442225
104,-0.1784586662273775
105,0.0082358754735553
106,0.0850316811586258
107,0.2107625773252263
108,-0.2799736495388619
109,-0.2504058776588338
110,0.1126930899895465
111,-0.0109956567156029
112,0.0659304433822342
113,0.1700307152259775
114,-0.0246879714716705
115,-0.1223824815080545
116,0.1633123114888923
117,-0.054869684499311
118,-0.0439150244277392
119,0.0384108867427686
120,-0.1071163723255358
121,0.1124828532236008
122,0.1431418611181446
123,-0.015754935404766
124,0.1654949804415073
125,-0.5214965738887961
126,0.1029803731524205
127,0.0877591163564725
128,0.0090777051561454
129,0.0151272199195094
130,-0.3552343939761838
131,-0.164223587373037
132,0.1002582409235862
133,-0.1521375323292256
134,0.2458568566745591
135,0.1863212906157719
136,0.019688616950384
137,0.0938114692086555
138,-0.2305195789984503
139,-0.0455179947805963
140,0.2180100526857538
141,-0.1030552861299633
142,-0.0151574862824783
143,0.0757300375620986
144,0.0
145,0.0121153380179368
146,0.0302791739841233
147,-0.0446817372865249
148,-0.0280286043270194
149,-0.1943044507863217
150,1.2616718541573932
151,-0.1614429660969727
152,0.9347856059561525
153,-0.401439645625689
154,-0.1164144353899927
155,-0.8807985907222485
156,-0.4183747964283734
157,-0.4867175486364758
158,-0.341156818889624
159,0.1808675992652375
160,0.2396391316605486
161,0.2067888643493222
162,-0.2072173667888394
163,-0.2175571440680309
164,0.3098329718615232
165,-0.40796125428642
166,-0.2985519168309394
167,0.0694483814275037
168,-0.4813580563388299
169,-0.4894384337970059
170,-0.4095357158253255
171,-0.0028740174452832
172,-0.5505143913998303
173,0.5246288071521965
174,0.3737434487498945
175,-0.205699528542687
176,0.5584089823220272
177,0.5302006445576537
178,0.1097808832910542
179,-0.1917417283510326
180,-0.0356856097778584
181,0.4499837176944369
182,0.3187062885472258
183,-0.0826958858796862
184,-0.0369314404739042
185,-0.0190898119505722
186,-0.0060287251019549
187,-0.0147784707238528
188,-0.0857886640634136
189,-0.196278474754427
190,-0.0289966793168899
191,-0.1306258164113519
192,-0.2888022151427548
193,0.1694209963143482
194,0.0208017592344932
195,-0.2129275301895427
196,0.1056076156477648
197,-0.0119008657879752
198,-0.0483706531526571
199,0.2501558834882358
200,-0.1825613079019117
201,0.3637943204647812
202,0.1707455890722964
203,-0.2554139608184264
204,-0.1496680091433423
205,-0.3851722348184841
206,-0.0902280308415771
207,0.3487548362486983
208,0.2066452770678098
209,0.4520232778454502
210,-0.1423053466151595
211,-0.3058727569331158
212,-0.1388548558359854
213,0.1956468574223446
214,-0.2970674806497261
215,-0.0790988189728119
216,-0.4080626608971926
217,0.1531309816789724
218,0.1256281407035275
219,-0.0341497397789828
220,-0.0587720736974555
221,-0.0711237553342791
