,MSFT.US
0,0.4456334604867923
1,0.102854637732479
2,0.2606706804345556
3,-0.1752080595707341
4,0.1162433018751665
5,0.1723510020547655
6,-0.2115682445626554
7,0.0437489483425863
8,-0.1415428167020385
9,-0.1721693336033998
10,0.1180159827359361
11,-0.0776135520010859
12,0.1065543570484496
13,-0.0425252082420018
14,-0.2637362637362545
15,0.0033811198268835
16,0.0287650530632453
17,0.1366751054852313
18,-0.0417389331042454
19,-0.0359435173299127
20,0.0540212033223124
21,-0.0135071250084488
22,-0.3218266201429549
23,-0.0152467431262653
24,-0.3178002107338303
25,-0.2007735063507806
26,0.5067078122325552
27,0.0693828665083834
28,0.4797532100303572
29,0.2369508073601119
30,0.0583795504774674
31,-0.5071248952221324
32,0.400734680247123
33,0.2041241408040029
34,0.3146908032048691
35,0.3361476698948838
36,0.1900198281559847
37,0.1567268827847873
38,-0.3601142431392046
39,-0.1492351697550112
40,0.3643353636600601
41,-0.0132600793126179
42,-0.03719161948841
43,-0.1773460682492625
44,-0.2080809756906979
45,0.0165906262961393
46,-0.1328598169034691
47,-0.6900430728055907
48,-0.1550092791963842
49,0.0711923994475449
50,-0.0364551688221571
51,-0.2366493239833475
52,-0.2109925367929198
53,0.2088118605136653
54,-0.1289333379795615
55,0.0766043385911662
56,0.1703281423804258
57,0.1284499218885625
58,0.1594398807666907
59,0.2441082097809309
60,-0.1544481767496714
61,-0.200630274698996
62,0.0825850292965385
63,0.1454041890254512
64,-0.0103870923066371
65,-0.0173148180212665
66,0.0219849844287567
67,-0.0219898188870149
68,0.1245114654307798
69,0.0777591539804125
70,0.0552648394729006
71,-0.1019984786667447
72,0.131215469613258
73,-0.3221671805175483
74,0.1314651444386768
75,0.2370125880019
76,0.211983181499636
77,0.0420285794340167
78,-0.1719117285899762
79,0.0417325678855714
80,0.1509209328384282
81,0.209658257041031
82,0.0768156424580902
83,-0.2344871032093091
84,-0.0875718088832842
85,0.0665103090979093
86,0.0349931763306036
87,-0.0875595404875315
88,0.1189393409361337
89,0.0629282617815713
90,-0.0888776916993901
91,-0.0160985511303955
92,-0.021002520302437
93,0.0087502843842345
94,0.033240027991612
95,-0.0034990727457192
96,-0.0455086466428605
97,-0.2139975442904801
98,-0.0456268426224889
99,-0.0315977951760811
100,-0.32322610435585
101,0.3178151849903534
102,0.1968762304764355
103,-0.0393907563025225
104,-1.015102748204998
105,-0.1124242021865138
106,-0.1107763204537398
107,0.4762744752160805
108,0.0969248391928799
109,-0.1809595268570404
110,-0.2788350889616692
111,0.2516445190057804
112,0.4614167692037315
113,0.2061132307152562
114,0.1182654402102541
115,0.1705365341728918
116,-0.0281683241071893
117,-0.1733339175393251
118,0.2796347271376829
119,-0.0174802254949054
120,-0.0909798707036061
121,-0.4406486277507652
122,-0.0303230059327569
123,0.3915175858983587
124,0.4686301847333602
125,-0.0601966423650614
126,0.0835699924583283
127,-0.0702534608439815
128,-0.3590724520957056
129,-0.06850557111483
130,0.2458796730537252
131,0.0502226537650363
132,-0.1811290376681382
133,0.0167683949292411
134,0.1740877134248349
135,0.1403784903645609
136,-0.0718957528311671
137,-0.075297952558604
138,-0.0268251841928864
139,0.1237248298239966
140,0.0602039110813911
141,-0.1473000569113848
142,0.1370687349558789
143,-0.0669075337883007
144,-0.0386875159803634
145,0.0052205341007985
146,-0.0184091175338499
147,0.0250970418953248
148,0.0685515557859322
149,0.3946973986610273
150,0.4554222031718736
151,-0.0107169649555148
152,0.1729579373428716
153,-0.0445966677369866
154,0.131832110026368
155,-0.032077556403048
156,-0.0089112263629639
157,-0.1517206911323759
158,0.1852907639680664
159,-0.1731184522853469
160,-0.0124946451520663
161,-0.0035700260611869
162,-0.1143714929053908
163,0.0125078173858547
164,0.1124437781109437
165,0.0036052102069649
166,0.0926857102100552
167,-0.1088877385266263
168,0.0945179584120934
169,-0.0160527958619516
170,0.0089174246477738
171,0.0800143990277012
172,0.025120704092352
173,-0.0231662983819223
174,0.2878567113259185
175,0.3128355978895212
176,0.1585007691949109
177,-0.4189780680195594
178,-0.0619253635421737
179,0.1810445597793085
180,-0.5197775376578996
181,0.1623105438505937
182,0.1546101949025412
183,0.081782761205105
184,0.3825401636859669
185,0.0768872320596421
186,0.1658939525467068
187,0.0201860465116238
188,0.1625261202693263
189,-0.0108672128756879
190,0.2193697868396654
191,0.0817218539979932
192,0.0155085412712391
193,0.0578342239803826
194,-0.1042100875364708
195,0.1479905656014397
196,0.2168897092754955
197,0.0276803838346568
198,-0.2126675913083585
199,0.0646830530400972
200,0.4206143518715253
201,-0.52103352551783
202,-0.0299043062200927
203,0.2939046726583454
204,-0.4836500599212566
205,0.0385059684251073
206,0.241148978851447
207,0.2108266961966031
208,-0.0852551259644437
209,0.1999489492044579
210,0.046774673640339
211,-0.1362571854375104
212,-0.0596480763495319
213,0.0021302430607312
214,0.1798519081781365
215,-0.011866785759852
216,-0.0425513807923163
217,0.008509551972093
218,0.0127626988853914
219,0.1359503781119862
220,-0.0892971042224807
221,0.0085037629150942
222,0.0764753367039158
223,0.0848580400127458
224,0.0975826972010269
225,-0.5822219460759345
226,0.2712763291583251
227,-0.6032131643480864
228,0.2856620503679327
229,0.018279029383549
230,-0.2772367968839584
231,-0.0940280708191836
232,-0.0554843962182523
233,0.158491603473161
234,0.0709706959706964
235,-0.0129595547408393
236,0.118144810867672
237,-0.2246263867241263
238,0.0458211143695118
239,-0.2204261572373339
240,-0.13335172667494
241,0.2248118920902959
242,0.0550256786500387
243,0.2743735138101309
244,-0.0503271263210933
245,0.2783100647869393
246,0.0843343286303659
247,0.084263265770896
248,0.1273711504344271
249,-0.1275335914370308
250,0.4944076874606098
251,-0.2447690485590114
252,-0.079020150138292
253,0.2364998029168286
254,-0.3361676883527761
255,-0.1465462610899891
256,0.1858074718323775
257,-0.142523456985623
258,0.1344245443403326
259,-0.0514240506329096
260,-0.0514505085684979
261,-0.0712899520773014
262,-0.0158447217270827
263,-0.0614360173606298
264,0.1148128352831801
265,0.0247380243224255
266,0.2379072063178645
267,-0.0237371237952246
268,0.0750650899577371
269,-0.0316225819186685
270,-0.0711125158027839
271,0.0473858790080573
272,-0.1027749229188154
273,0.1003024870278158
274,0.0063178677196411
275,-0.2726067885189728
276,-0.0883228580879924
277,-0.0391095066185305
278,0.0556248778507756
279,-0.2698302631975585
280,0.033152501506936
281,0.0963507166084527
282,-0.2051653391262391
283,0.0663028602493082
284,-0.0180036079592294
285,-0.1419986108174967
286,0.21095139077238
287,-0.0801654702166144
288,0.0680550950902656
289,0.0828151114992478
290,0.1818619051913362
291,-0.0180391449445303
292,-0.0857594222523207
293,0.1247220051692073
294,-0.0180353492845984
295,0.126088261783253
296,-0.0600781015320052
297,-0.0210317579545092
298,-0.0054084588296011
299,0.6412705994745544
300,-0.4951662343786807
301,-0.8081768481103005
302,-0.6018094137340047
303,0.1642509155556138
304,-0.4180977511263569
305,-0.1746717899455619
306,-0.2568218298555436
307,0.3660308937271015
308,-0.2231138405513451
309,0.0685940816081376
310,0.1239801631738931
311,0.1796478901353415
312,0.2469037473617158
313,-0.0723313613240424
314,0.1597501293120592
315,-0.0637018752239618
316,-0.0717160046216894
317,0.0
318,0.1313067006207162
319,0.1588670581865011
320,0.0913276443738809
321,0.27430009934968
322,-0.0427663492189217
323,0.0257323832145675
324,-0.0594177064765322
325,-0.0549579963884691
326,-0.5089761294140938
327,0.1909937582452256
328,0.1749351364100924
329,-0.1890508074044859
330,0.2004638182461345
331,0.1726505787718256
332,-0.0942618121833316
333,-0.1573502222571911
334,0.1335690434099404
335,0.0765471353706621
336,-0.0215948800502598
337,0.1646348633922683
338,-0.0700188089741808
339,-0.004550448984166
340,-0.0372412439909836
341,0.0058860461466075
342,-0.0078486774978456
343,0.0156948913128856
344,-0.2359789192165589
345,-0.062967335694607
346,-0.0393700787401552
347,-0.0393855848759331
348,-0.1261929174225069
349,0.0157716268433057
350,0.4885790751229206
351,-0.8473512427818192
352,0.134766665621966
353,0.4275371364374
354,0.6202704379109292
355,0.3907879087440684
356,-0.1918999644056531
357,-0.712281795511212
358,0.0296046993564781
359,0.0762907143302
360,0.1895881895881938
361,-0.0404203718674197
362,0.0066222838920239
363,-0.0346157434765118
364,0.4859176725472144
365,-0.1902405216962709
366,0.3841163932907175
367,-0.1577872656394996
368,-0.2077197333746755
369,0.330634695012667
370,0.0709279644229961
371,-0.0338852165317771
372,-0.1577823840608826
373,-0.049524870771048
374,0.2254478072884553
375,0.5320427900208081
376,0.2814455572735085
377,0.0625182954878054
378,0.0710405348934458
379,0.1085323092335911
380,0.0667445352911716
381,0.0208533177628608
382,-0.0542480387247637
383,-0.0292190174061832
384,-0.1756219945640759
385,-0.0761189464200506
386,0.3011806917268159
387,-0.3348821633387799
388,0.1337736716692536
389,-0.0543751045675068
390,-0.4664453502542394
391,0.0205865918267056
392,-0.0163879317589779
393,-0.3457581379659273
394,-0.054845378222164
395,0.1264062697509844
396,0.1739689312351516
397,0.2795184765739734
398,0.0251603975342819
399,-0.3281585258109307
400,-0.365033621517767
401,0.1553777982390412
402,0.1857241326491589
403,0.1071073368525857
404,-0.1148897058823573
405,-0.1303780964798036
406,-0.0690713737528587
407,-0.0383877159309108
408,-0.0076781326781256
409,-0.0268806881456139
410,0.1227323284623914
411,0.034506556245677
412,-0.0019170676533157
413,-0.4912537566463655
414,-0.3130676767286369
415,-0.9508648304869864
416,-0.1261866624995145
417,0.1521298174442248
418,0.2470865191929768
419,-0.0175131348511445
420,-0.1032393790053904
