,CTAS.US
0,-0.2055601874479004
1,0.0057496047146869
2,0.1162940948442873
3,0.2749022808298554
4,-0.7893673516508765
5,-0.3330147974401396
6,-0.088399391348455
7,0.098446571019076
8,-0.3734596605440668
9,0.0203399680371911
10,-0.6757547390592097
11,-0.1259482733370288
12,0.3517067262087135
13,-0.3558875219683749
14,-0.1510773427988871
15,-0.0631109284644891
16,0.0762619892646557
17,-0.1910191606912055
18,0.2111436950146707
19,-0.0501424320869366
20,-0.1363536203781157
21,-0.181015452538634
22,-0.0706901122205558
23,0.154395871013288
24,0.2976103210672882
25,-1.0368563213383268
26,-0.0639367607312119
27,0.1450999738820047
28,-0.3699172783409011
29,0.1976744186046531
30,-0.0116292592161938
31,-0.1106001513475742
32,0.0334598990383942
33,0.1089894498212573
34,0.2261852979556414
35,0.1418891527190456
36,-0.1391869164298443
37,-0.0986880297225217
38,-0.2006805688857859
39,0.130707563611011
40,-0.0843047763016261
41,-0.4585012557677685
42,0.3434225844004676
43,0.0072753728628526
44,-0.1150831803746705
45,0.2122339806954185
46,0.1074550576481876
47,0.3617107471497193
48,-0.2291249746222232
49,0.0811429565015715
50,0.0492941967286609
51,0.0487432154713606
52,-0.1689100026392302
53,-0.0818827755619541
54,0.5673013788575246
55,0.209671078495613
56,-0.0944410923686386
57,0.475183415576615
58,-0.0287281274484235
59,0.0234993080759371
60,0.070448259667062
61,0.1120696395527657
62,-0.1121953765068117
63,0.3173116937161951
64,0.1506258764867771
65,0.1633436179314982
66,0.1514465083166085
67,0.1111958728229546
68,0.1046214254346386
69,0.0206616906428327
70,0.1263929013619503
71,0.0824742268041219
72,-0.0799607934174217
73,-0.054196345617833
74,-0.0413095115150327
75,-0.4585942322956176
76,0.3982080637132776
77,0.084839974255462
78,-0.0951697682250072
79,0.8406167426464131
80,-0.3116625888383995
81,0.3887889514304044
82,-0.3581515883877408
83,-0.0232998398135966
84,0.01747182667948
85,-0.1808687534642214
86,0.0641380717763244
87,0.1513696038191662
88,0.0610926863327039
89,0.5396333965075762
90,-0.4840960632668548
91,-0.0756517690875206
92,-0.1194395082588123
93,-0.1108227128233531
94,-0.1109456658199747
95,-0.106679916409712
96,0.0336001869923476
97,-0.7298840426158156
98,0.1351986832823996
99,-1.2378005236848444
100,0.0272858064196094
101,-0.0198481615640311
102,0.0421595615405639
103,0.2498515733227763
104,-0.0358826513567309
105,0.4373321506886385
106,-0.2042748096126213
107,-0.3052425645724451
108,0.2494936020947559
109,0.066651855143297
110,-0.2499505048505224
111,-0.1362971774093652
112,0.1657595249876338
113,-0.0495049504950466
114,0.1556977979882844
115,-0.0840980484305758
116,-0.0953194439286584
117,0.1001706611263707
118,0.029671389362808
119,-0.0321543408360117
120,-0.1486252167451134
121,0.0495172072295094
122,0.0074270294358006
123,-0.1358513766107565
124,0.1628551628551666
125,0.682633682429485
126,-0.4836723925661119
127,-0.251259973257699
128,0.291549460853243
129,0.1725802205516809
130,-0.1582046699674861
131,-0.2025598872710186
132,0.2912465057737072
133,0.0307251126587517
134,0.0409500409500369
135,-0.1317986117212865
136,0.1433083762283601
137,0.0643011632664904
138,0.2245487154063861
139,-0.1606496085991387
140,-0.1638385020479819
141,0.2451552650011601
142,0.2474598969402377
143,-0.1224239951030448
144,-0.0437419806368766
145,-0.0729564887501094
146,-0.0218917380580535
147,0.2605607150135322
148,-0.1311800373134295
149,-0.4333060077292476
150,0.0142519168828239
151,-0.0941512125534904
152,0.2703087210129432
153,-0.166730793895082
154,-0.0370650205995966
155,0.166514858248884
156,-0.1596533242102868
157,-0.0456360524814512
158,-0.0599332172721928
159,0.2817462576128434
160,0.0199174847062151
161,-0.0939849624060105
162,-0.0683994528043801
163,0.1024940211821016
164,0.1251137397634206
165,-0.1509326498647386
166,0.0313158344246465
167,0.0824918219314522
168,-0.2137970353477765
169,-0.0627531519196837
170,0.1310391978122254
171,0.0256315324808404
172,0.0
173,0.0284713720354248
174,-1.0384903055060162
175,0.5036357977534531
176,-0.7928133466419591
177,-0.1985969624666009
178,0.0271389801457012
179,0.1554500206791357
180,-0.1700000000000077
181,-0.2549339749649068
182,0.0028643446379442
183,-0.1233187071610906
184,-0.1666140013214168
185,-0.0229865241502286
186,0.0603032391454274
187,-0.0689655172413819
188,0.03159920714717
189,0.0803697006228573
190,0.1518972830448325
191,-0.0301019164886883
