,AMZN.US
0,-0.3862990335417892
1,-0.1811119590846478
2,0.2357994738546731
3,0.6545060440909607
4,-0.1554713183685122
5,0.0615852263257021
6,-0.0052858738144139
7,0.7182453866931494
8,0.0092552081580432
9,-0.0328976586551696
10,-0.0670241437394741
11,0.2913999233010728
12,0.4677922656859458
13,-0.111821099629002
14,-0.0128601038292921
15,-0.0092065617676578
16,-0.0393526077382384
17,-0.0622772819177929
18,0.1214744854767438
19,-0.1297315715534547
20,-0.230920763301033
21,-0.0759487996951902
22,-0.053537392084323
23,0.223459624845137
24,0.0575796961692715
25,1.0906522168862436
26,0.2291276327925174
27,0.4231034711813132
28,-0.2594431816536617
29,0.2409088676994269
30,-0.2258192461690265
31,-0.4274013705918861
32,0.2019527906335698
33,0.3587991071944947
34,0.0826202760557101
35,0.049374445981181
36,-0.0153055330945981
37,0.076180802437782
38,0.3095333985386273
39,0.2381977328167651
40,0.2875906769111955
41,-0.0452337122849718
42,-0.079078336260562
43,0.0936029403345655
44,0.0289026438764959
45,-0.5112584724373334
46,0.1308430544025552
47,0.2664321299959657
48,-0.3181491593619819
49,-0.0707498331914512
50,0.2190932769619903
51,0.5497525287715287
52,-0.0033037299110597
53,0.1970837598485622
54,0.0989683929988422
55,0.133675446781031
56,-0.0299139674296722
57,-0.4647696212270382
58,-0.0419415163887597
59,-0.3469540451824677
60,0.1186079476967924
61,0.1123943856987602
62,0.0210657461938655
63,-0.1964500883167428
64,0.0950454426326285
65,-0.1236627084546192
66,-0.2982808014254456
67,0.4375062008005784
68,-0.0945372324389513
69,-0.0257829497805439
70,0.2957023193164131
71,-0.2374853078569093
72,-0.0572944936976084
73,-0.0383115178902716
74,-0.2334293860988507
75,0.0010527972110622
76,-0.4047390494474704
77,0.0193375696987903
78,-0.1566880657305967
79,-0.1148513376887161
80,-0.0644871938280458
81,-0.0587840569860368
82,0.1117479357052296
83,0.1869505176391954
84,-0.0045747616120404
85,-0.1140099473099366
86,0.0312743235199882
87,0.0082979240883003
88,0.2177031955973989
89,0.1388998698075712
90,-0.0920830336860656
91,0.1241280043323671
