,SBUX.US
0,0.4853742394429605
1,0.7414662368790765
2,0.1815031763055844
3,0.533398982438869
4,-0.0656922318935771
5,-0.073958418933358
6,0.008216926869355
7,-0.0575515908904114
8,0.1477711189557563
9,-0.0492813141683796
10,0.0902675201050381
11,0.2210759027265995
12,0.1798120147118912
13,0.1224489795918413
14,0.0081625989715167
15,0.1304312382815656
16,0.0081512879034929
17,0.055805162588545
18,-0.0313747860810148
19,-0.0489196901752858
20,0.1587366193170199
21,-0.0692407950472415
22,0.0122174709835068
23,-0.1509095358512132
24,0.0244658293916173
25,-0.3238941328891304
26,-0.0944811871283312
27,-0.0815796792435281
28,-0.0649350649350717
29,0.2036659877800396
30,-0.0833873807097092
31,-0.1391723881981867
32,-0.5222906174221249
33,0.0
34,0.1071411934597241
35,0.037252619324802
36,-0.1746467415134971
37,0.4570950965824768
38,-0.1069120996606787
39,0.0092958401115548
40,0.3196812453669374
41,0.184795014419187
42,-0.004439716968046
43,0.1154841093865484
44,0.064537036780575
45,-0.0553348729792138
46,-0.0739576592400834
47,0.0739030023094672
48,0.1567976388120288
49,0.4407713498622626
50,-0.0083766124979101
51,-0.2687720477070327
52,0.1677008217340289
53,0.0269087391369586
54,0.2073782834197769
55,-0.4115917681646443
56,0.1844554372432287
57,-0.1469415172761217
58,-0.0083973632279507
59,-0.1177014586573631
60,-0.0764803233544241
61,-0.0118646920228871
62,0.2059030005407867
63,-0.0211657987569276
64,-0.1008912056499113
65,-0.1136315811624013
66,-0.1137608494143466
67,-0.04215140785702
68,-0.033732501264974
69,0.1683785149015009
70,0.1093263812967752
71,0.0
72,0.2347516314315559
73,-0.100613084740079
74,0.1090604026845718
75,-0.3974913876866027
76,0.369620698759132
77,-0.132181882269996
78,-0.3093785910015102
79,-0.2125963327132561
80,-0.0177195003100877
81,0.221004243281471
82,-0.0397965951801916
83,0.2250066178416972
84,0.1057734684883248
85,-0.2208480565371025
86,0.061799240752179
87,-0.0441618088676887
88,-0.0088331419485956
89,-0.0176694054245039
90,0.0264970853206157
91,0.0353169698039963
92,-0.0839482172049651
93,0.0574052812858762
94,0.1322984653377945
95,-0.0088206756637478
96,-0.1324854266030787
97,0.2818389994715583
98,0.1407211961301641
99,0.0966523152622787
100,-0.4743707514238511
101,-0.1103549751701347
102,-0.3043999631030332
103,0.1887400451134726
104,-0.1706169879184617
105,-0.1292824822236592
106,0.3680191369951159
107,0.10110294117647
108,-0.0643796560286886
109,-0.272052381611105
110,0.1519337016574512
111,0.1425221828881441
