,AZN.US
0,0.0098386462022876
1,0.1473622163277391
2,-0.0983380863408481
3,-0.04919323101141
4,0.0196734212079441
5,0.0393313667650012
6,0.0393159032828701
7,0.0785700255352566
8,-0.1770956316410789
9,-0.0196811651249714
10,0.0295130349237591
11,-0.1181916674874466
12,0.0098483356312833
13,-0.0295537385479274
14,0.0590725607954987
15,-0.0886874260938009
16,-0.088766150507943
17,0.1280535855003895
18,-0.088731144631755
19,0.1181683899556773
20,-0.0591191250369516
21,-0.0492902208201864
22,0.0581286515138055
23,-0.0680272108843423
24,0.0295683027794075
25,-0.026073353033201
26,0.0694806322737522
27,-0.0869262865090353
28,-0.1654331737048427
29,-0.0609862345356274
30,0.1565762004175301
31,-0.0348068221371319
32,0.0434896059841673
33,0.0
34,0.0
35,-0.0086986778009787
36,-0.0522193211488146
37,-0.0348250043531309
38,0.0
39,0.095677133165173
40,0.0260869565217401
41,-0.1393242772553087
42,0.1426037355222439
43,-0.0556812249869559
44,0.0782404590106958
45,-0.0347856335333561
46,-0.0783289817232281
47,0.0174034110685659
48,-0.0958104694712999
49,0.0261233019853719
50,0.1441533112863577
51,0.0084788875699431
52,0.1354784081287016
53,-0.1866304716661001
54,-0.5201671356698213
55,-0.2907722569058318
56,-0.0770284149263979
57,0.0624395918332377
58,-0.0453534143419453
59,-0.0256783360438253
60,-0.0428155506079783
61,0.0684579839123723
62,-0.1199451679232355
63,0.0856017805170299
64,-0.0085609108809099
65,-0.0171247538316602
66,-0.0428302210039501
67,0.025691530358826
68,0.0684638425331607
69,0.017113031573552
70,0.0769493844049155
71,-0.0770086420809354
72,-0.0770679910943683
73,0.0256827326427541
74,0.0769888793840918
75,-0.285790373922478
76,0.1426021774049653
77,-0.0893176134333766
78,-0.0983459991059449
79,-0.1342882721575572
80,-0.143446297292448
81,0.0985221674876842
82,-0.1435106287559519
83,-0.26980843601043
84,-0.1080399747906766
85,0.2693723623956284
86,-0.0179613830265022
87,0.0
88,0.2508286302965163
89,0.0089573629523514
90,0.1073729420186153
91,-0.1164561497805336
92,-0.0627465041233355
93,-0.1526169315019316
94,-0.0359227660529917
95,-0.1168854522567842
96,-0.0089919971225655
97,-0.0179872290673585
98,-0.017990465053518
99,-0.0990455609580402
100,-0.1417685628211913
101,0.2474809969948746
102,-0.0530597806862418
103,0.2997707635337713
104,-0.0705840832892167
105,0.0529100529100549
106,0.3252175441680499
107,-0.3085875506965211
108,-0.2563422611155363
109,-0.194845452130014
110,0.0708027259049458
111,0.070752631113468
112,-0.0265392781316232
113,0.1678000529894884
114,-0.0530175841654168
115,-0.0618921308576546
116,0.2381582429214168
117,-0.0264690312334578
118,0.0529100529100549
119,-0.0441111601235212
120,0.2551918338613219
121,-0.0792602377807163
122,0.1494899753781232
123,-0.0087943012927667
124,-0.1850220264317125
125,0.3421659902920401
126,-0.1354581673306786
127,0.2384737678855303
128,0.1428798221940044
129,-0.2068087814190304
130,-0.2551834130781444
131,-0.0159515074174591
132,-0.0718333466357963
133,-0.1198657503596017
134,0.0479233226837078
135,0.1992825827022718
136,-0.0159451486885083
137,-0.1677048394825171
138,-0.2401536983669525
139,-0.0797946489516098
140,0.055729041556565
141,0.2476038338658165
142,0.1913265306122408
143,-0.0797829902664706
144,0.1513582410579126
145,-0.0239043824701204
146,0.0971167470665965
147,0.149431682696131
148,0.2299762093576463
149,0.0634014899350233
150,-0.2369912416280309
151,-0.5282784338098103
152,-0.2908788697278216
153,0.4138216428719134
154,0.1446280991735543
155,-0.1448375750051733
156,-0.6036636136552854
157,0.6925064599483222
158,-0.0105437472477693
159,0.0725131701270528
160,-0.0516742455560119
161,0.1650846058604999
162,0.0103167234086506
163,0.0309405940593924
164,0.2674346842213589
165,-0.0823553633930392
166,-0.3305102251600985
167,-0.124095139607022
168,-0.0620860927152341
169,0.072381346293034
170,0.115882514547285
171,0.2038754895897762
172,-0.2583445282628914
173,0.1650675745383377
174,-0.1756924348904523
175,0.0513481905344124
176,-0.0341865658821505
177,-0.2583534274888022
178,-0.2244087692042164
179,-0.0518134715025926
180,-0.0777806585429119
181,0.0086415485655073
182,-0.2512345144243195
183,0.1211387038158573
184,-0.1126126126126086
185,0.0837828293669218
186,0.0546712802768121
187,-0.0779153320058775
188,0.0864977078107381
189,-0.1125736058191855
190,-0.03465003465004
191,-0.0346620450606516
192,0.0
193,0.0
194,-0.0867302688638408
195,-0.0260258523466653
196,0.0953371468192056
197,0.0346560388147688
198,0.1729804532087898
199,-0.1732801940738198
200,0.1991370726850272
201,0.1254646917165206
202,0.1477865122052037
203,-0.1573012476359156
204,0.0578149589994208
205,0.074656390239377
206,-0.1410692084542015
207,-0.0829531314807204
208,-0.1245847176079663
209,0.2072109407376709
210,0.0
211,-0.0746516257465191
212,-0.0414903327524663
213,-0.0332032871254306
214,-0.1413133832086464
215,0.0415454923140815
216,0.0332253509427745
217,-0.0107994052019947
218,0.0523082032547346
219,0.1078211827154312
220,-0.0165906262961393
221,-0.1745055675585788
222,-0.181482159804202
223,-0.076647504790468
224,-0.2338204592901888
225,-0.1092353525322735
226,-0.179068842021495
227,-0.1195219123505879
228,-0.2596365088875625
229,-0.0799520287827286
230,0.4576203740549082
231,0.257987695971428
232,-0.0496376451901093
233,-0.0397258913496933
234,0.2871855813032345
235,0.0791608945181063
236,-0.0891353867485425
237,0.1680838441763908
238,-0.0494608764467278
239,0.0
240,-0.0120699105045886
241,0.0021764938662465
242,0.1383125864453671
243,0.1971997633602867
244,0.0295712173484486
245,-0.0493096646942772
246,0.0788332676389419
247,0.1082783738556939
248,0.0393584571484719
249,-0.187302839116717
250,-0.3546728143287868
251,0.1770224818551981
252,-0.3642178200231064
253,-0.0444365446142882
254,-0.1959038290293845
255,0.0178062678062642
256,-0.223074863924333
257,0.0535093195398218
258,-0.1607860652076753
259,-0.0625670361101246
260,0.0089373491822371
261,0.0178715038870485
262,0.1516773733047838
263,0.0624164065983124
264,0.0979868163192583
265,0.0445196331582202
266,-0.098039215686274
267,0.0267308206361945
268,0.0890234131576554
269,0.0089015488695078
270,0.1244665718349933
271,0.0533143771103627
272,0.0177683013503873
273,-0.0088849400266593
274,0.0799005681818212
275,-0.1501899461083149
276,-0.1326963906581665
277,0.1942433339219484
278,0.0088284629645898
279,-0.1768815777836763
280,-0.0088448611356721
281,0.053041018387555
282,0.0088393883143206
283,-0.0530644733351041
284,0.0530363298859739
285,0.0030053017057731
286,-0.0826256192498127
287,0.0
288,0.0300688044997009
289,-0.0035376315556778
290,0.0618702492487249
291,0.0265087920827084
292,-0.1504424778761077
293,0.053069166814083
294,0.1060257996112427
295,0.0088347027122456
296,-0.0353513035793124
297,-0.0707526311134806
298,0.0442008486563042
299,0.0706713780918712
300,0.0199521149241779
301,-0.0798722044728417
302,0.3779590212850702
303,-0.0895968143354936
304,-0.3296044746304417
305,0.0598921940507109
306,0.0598563447725339
307,0.0897039768763115
308,-0.0798004987531155
309,-0.0598862161892427
310,-0.0299520766773174
311,-0.1199520191923134
312,-0.0500050005000613
313,0.0199980001999902
314,0.0099980003999109
315,-0.1301431574732159
316,-0.2712312211026348
317,0.0403371462974098
318,-0.0100351229302467
319,-0.1004520341537001
320,0.1203973111267227
321,0.0300902708124384
322,0.0100290843445902
323,-0.0501705799719016
324,0.0701895116815475
325,0.008525149190103
326,0.2551020408163241
327,-0.1874254557846301
328,-0.1877773984294971
329,-0.3082191780821913
330,0.0
331,0.0342348510784031
332,-0.085660442007888
333,-0.0342759211653745
334,0.1710863986313112
335,-0.0256695473603158
336,-0.0085572479890511
337,0.0513171399247368
338,0.0
339,-0.1480121150657105
340,-0.0575934178950974
341,-0.0171438367906825
342,0.0685283536063031
343,0.077035008131476
344,0.0083875528715373
345,0.0856849666495647
346,-0.0140262530404506
347,-0.1744345442083571
348,0.0
349,-0.1372683596430993
350,-0.0529100529100423
351,0.2550796024276471
352,0.1142154278685604
353,-0.0351555633678959
354,-0.0791626352361715
355,0.0087950747581399
356,-0.2468700405572219
357,-0.1678000529894884
358,0.0617828773168518
359,-0.1812635395021869
360,-0.2082225766436287
361,-0.0443223118517836
362,0.0
363,-0.1135940079160825
364,0.1930912311780367
365,-0.200756520149321
366,0.2974957968321433
367,-0.1151665485471382
368,-0.0975436729626668
369,-0.0621118012422299
370,-0.1866832607342946
371,-0.2048815250311685
372,0.0534188034187928
373,-0.1515827017387316
374,-0.1876005002680078
375,0.0513259195893945
376,0.0512995896032729
377,0.4426285325161817
378,-0.132111655657363
379,-0.0981144953502338
380,0.2552974214960525
381,0.0085091899251113
382,0.3814529117572288
383,0.0677678949597613
384,0.0
385,-0.0508517670989086
386,-0.0593622795115274
387,-0.0593975392448089
388,-0.0424448217317463
389,-0.0764590943845071
390,0.0084947332653798
391,-0.2384196185286113
392,0.4661411984066422
393,-0.0916170407695745
394,-0.1716519374575103
395,-0.0680272108843643
396,0.0
