,CSX.US
0,-0.8855291576673946
1,-0.7069059271343029
2,-0.1524888356388199
3,0.1522566612289294
4,-0.0870795689561318
5,-0.0217746325530868
6,-0.2729257641921397
7,-0.1202317193135855
8,0.1745771958538033
9,-0.2406212402931191
10,0.1419833988641278
11,-0.3177385778459584
12,-0.1646180860403769
13,0.1862197392923668
14,0.0602112868794051
15,0.038301597723787
16,0.1856908793009303
17,0.0109217999126311
18,0.0927491952643283
19,0.0775218309544357
20,0.1838167274310364
21,0.2767527675276703
22,0.0217013888888845
23,-0.1848026959452132
24,-0.338132635253041
25,0.089946032380575
26,-0.1802162595114205
27,-0.100220485067142
28,0.2100210021002037
29,-0.0900900900900792
30,0.1199760047990305
31,0.0199920031987307
32,0.0848938826466853
33,0.1097421060507801
34,0.0448743518149199
35,-0.0049862877087962
36,-0.0948293072469543
37,-0.0799200799200924
38,-0.0299790146897183
39,0.1596328444577579
40,0.0
41,0.0249364121490114
42,-0.1448406752572131
43,0.0598981731057225
44,0.0897666068222655
45,-0.0598802395209603
46,-0.0299490865528612
47,0.1096928599920217
48,0.0099710838568203
49,-0.17980221756069
50,0.2989942919271526
51,-0.0271886895051604
52,-0.0168598295525612
53,-0.3104200763775362
54,0.3127124405166607
55,-0.1225156547781151
56,0.0136109976861373
57,0.0272145870186365
58,-0.0544588155207515
59,0.217361771498433
60,0.0814442785394357
61,0.1490918948224443
62,0.1488699418053856
63,-0.0812677773262932
64,0.229729729729732
65,-0.040556982560499
66,0.0270306798215921
67,-0.0405624661979463
68,-0.3119490031194761
69,-0.1766304347826218
70,-0.0271812992660995
71,-0.1088435374149636
72,-0.2318287194872517
73,0.0545181954477392
74,-0.2322404371584722
75,0.2895099975648673
76,-0.0622698722113822
77,-0.2321817595665175
78,-0.3005988023952091
79,0.3417783323387532
80,-0.3757351339577577
81,0.043544524276079
82,-0.0108873162765434
83,-0.1308187070751012
84,-0.2303341812428496
85,-0.2950136986301346
86,0.1422630772597893
87,0.2728364072901888
88,-0.1311332094852915
89,0.0655236431145441
90,0.1308757770749313
91,0.1633275261324103
92,-0.2839047827036527
93,0.1199694623186819
94,-0.0436442989634392
95,0.1307616868257495
96,-0.1779340006768005
97,0.1123105441064163
98,-0.0109051254089322
99,-0.0982425499399666
100,-0.976892729663716
101,0.9271215029372384
102,0.1509959927986473
103,-0.0174256505576214
104,0.4164738546968989
105,0.5751092707614447
106,0.1321003963011993
107,0.2520767688341436
108,-0.0171900068760034
109,0.2400823139361995
110,-0.355667737494266
111,0.4227122129555632
112,0.0228440890919429
113,-0.3898635477582885
114,0.2858449576949463
115,0.3191246865739698
116,0.0
117,-0.1598173515981741
118,-0.1371742112482742
119,-0.2406325197662518
120,-0.3334099793055783
121,0.0229885057471218
122,0.0574382538770788
123,-0.4036908881199473
124,-0.0230733733271758
125,0.5346727154893037
126,-0.2599090318388508
127,-0.0812875955129316
128,-0.1465320742429116
129,0.2277445492379818
130,0.0808310339230605
131,0.1296806613713702
132,-0.3742271396029887
133,0.0650406504065026
134,0.0812347684809052
135,0.0162443144899368
136,0.145985401459848
137,-0.1299334091278192
138,0.0649245252394078
139,0.1620482903905387
140,0.2263540824575595
141,0.0646307965745664
142,-0.1456310679611706
143,0.1292824822236674
144,-0.1132502831257082
145,0.1292615931491328
146,-0.0646725949878725
147,0.0
148,0.1614205004035535
149,-0.4051863857374392
150,0.0416204217536086
151,-0.2085360767412643
152,-0.4468649629940056
153,0.2507312996239125
154,-0.1115604518198473
155,0.250382528863551
156,0.1943634596695829
157,-0.1111883252258489
158,0.2633767673967254
159,0.2764722145424424
160,0.055263885051108
161,0.0966183574879329
162,0.1240694789081932
163,0.0688800110207978
164,-0.2070679182772027
165,-0.0826192798582977
166,-0.249584487534625
167,0.069204152249131
168,0.0
169,0.1382170006910771
170,-0.0276510438268989
171,0.0828843762950715
172,0.1379500620775201
173,-0.4712404712404562
174,0.0138580931263732
175,-0.3098030537729599
176,-0.0664304694419865
177,0.4464039680352726
178,-0.1048218029350092
179,-0.2100840336134428
180,0.1435353869934807
181,-0.1548158796859298
182,0.297684674751925
183,-0.0827586206896583
184,0.0275785990071767
185,0.17619204933377
186,-0.0440674231574377
187,0.0
188,0.2308199604308726
189,-0.0880088008800861
190,0.08793141349747
191,-0.3418991948825436
192,0.2694824836385684
193,0.2140270003292648
194,-0.1869364416098545
195,0.0659340659340684
196,0.0
197,-0.0549752611324872
198,-0.0880378562781977
199,-0.1432664756447098
200,0.1217285453438805
201,0.4845548152634878
202,0.1511944360447449
203,0.045337766359379
204,0.1207547169811295
205,0.1958421211208127
206,0.0451739195904248
207,0.1653638003607929
208,0.0862154424774791
209,0.1089272318079646
210,0.0449910017996417
211,-0.0600240096038509
212,0.044997750112496
213,-0.1502178158329706
214,-0.0150240384615247
215,0.1050577817799687
216,0.0
217,-0.0300255216934334
218,0.1199580146948542
219,0.0299805126667606
220,-0.0750075007500707
221,-0.1201562030639806
222,0.0750412726999807
223,-0.0150105073551349
224,0.3589590188453408
225,-0.3153366083663022
226,-0.0436994911703127
227,-0.556809631301716
228,-0.0753012048192728
229,0.270351456893951
230,0.1649422702054272
231,-0.1956135685503894
232,-0.0153269140610875
233,-0.0745864661654106
234,0.1051524710830602
235,-0.1052631578947265
236,-0.0601865783930277
237,-0.0301023479831366
238,0.1052473312283978
239,-0.1053582179410105
240,0.1202645820805747
241,0.000300660551241
242,-0.1810240963855376
243,0.0902798675895096
244,0.0300842358604245
245,-0.1054058123776651
246,0.0752332229912686
247,0.0300842358604245
248,-0.0300932891965245
249,0.1202284340246656
250,0.0
251,-0.2996005326231686
252,-0.0333000333000266
253,-0.1166861143523925
254,-0.0333500083375073
255,0.0500000000000019
256,0.1331557922769612
257,-0.0166472448809688
258,0.0166444740346171
259,-0.2335669002335678
260,0.0670221172987182
261,-0.1171757636454797
262,0.0
263,-0.116978609625657
264,0.1168419295609967
265,0.0333722676455917
266,-0.1504010695187103
267,0.4988360492184854
268,-0.0499085010813527
269,-0.3505843071786325
270,-0.066822586034078
271,0.2665778073975403
272,-0.0166638893517832
273,-0.1836393989983296
274,-0.2678272514228265
275,0.2042239489938218
276,0.2682563338301145
277,0.1735680634763175
278,0.2325351276469418
279,0.0296765258680395
280,-0.1783767713804447
281,-0.1240263928163913
282,-0.0347394540942894
283,0.1041098606910951
284,0.1781560845251572
285,-0.0544662309368118
286,-0.1388337961126542
287,0.0941199782037933
288,0.0544608377066963
289,-0.1984323841650844
290,0.0
291,-0.109257052046086
292,0.2575787596591944
293,0.0396118043176928
294,0.0099019704921189
295,-0.0891972249752122
296,0.0099098206322375
297,0.0891089108910924
298,0.1532301912905947
299,-0.4318903891977783
300,-0.933505672842174
301,0.7271171941830697
302,1.211267605633802
303,0.1125492402926256
304,-0.2114761032003263
305,-0.0141003948110619
306,0.2110595187842851
307,0.0983975260050708
308,-0.2536640360766725
309,0.309075583028959
310,0.2522421524663573
311,0.1259622113366038
312,-0.4075323215289577
313,-0.0281135788585831
314,0.2637652489284481
315,-0.1982160555004913
316,0.1319696469811915
317,-0.1983471074380123
318,-0.29840848806366
319,0.0662690523525499
320,-0.1659475605708619
321,-0.3330003330003259
322,-0.2838537318417126
323,-0.2846617548559975
324,-0.0335008375209313
