,ILMN.US
0,-0.8709640020868343
1,0.2111352133044159
2,-0.0868432479374761
3,-0.714285714285711
4,0.5162712454318618
5,-0.2150912684571422
6,0.1335268505079766
7,-0.3846377994055577
8,-0.011657049600752
9,0.16002793214816
10,0.3349330858791716
11,0.2704031465093254
12,0.9595279695242525
13,0.2343191884554916
14,0.5428295344739457
15,0.0880256694210189
16,-0.0184604024367724
17,0.0383261412673151
18,0.1955061910293819
19,-0.4039714375124508
20,0.0312837722541418
21,0.0540064239220027
22,0.1532567049808487
23,0.184135977337104
24,-0.3753412192902619
25,-0.3757074237884586
26,0.185132440900022
27,-0.1069213771473349
28,-0.1022738083912108
29,0.0118908892006971
30,-0.0737779047075068
31,-0.0595337318124449
32,-0.3392989414828836
33,0.1574540162702543
34,-0.1122522092190177
35,-0.0310581264782462
36,-0.3019338141908871
37,-0.1367759274367694
38,0.1629054669158178
39,0.0443002358688239
40,0.0418880750634196
41,0.0406747218566852
42,0.1958115433292722
43,0.1264011447650917
44,0.1167250291812594
45,0.0476201814328885
46,-0.0428765393868671
47,-0.2842673546414404
48,-0.0788926342967759
49,-0.1748251748251791
50,0.4308932846163629
51,-0.1008954470929585
52,-0.6882714481637577
53,0.3946369845686826
54,-0.4421181014330748
55,0.1851429151132461
56,0.1835373340252815
57,-0.2270881964883745
58,0.0633922458604863
59,-0.7974440894568702
60,-0.0933778477045701
61,1.3688778986147236
62,-0.3316455696202537
63,0.0
64,0.888242083605164
65,-0.0376515474786099
66,-0.0879308612199693
67,-0.1257735070684711
68,0.1394139589796422
69,-0.9535040004057586
70,0.2945638432364147
71,0.1993489616190215
72,-0.3519878450240677
73,-0.1547084633137936
74,0.1645819618169791
75,-0.1441697743262465
76,0.1160659684788093
77,-0.1787668320012993
78,0.3545601778646748
79,0.1895412558313464
80,-0.3765157697662259
81,-0.1143834826406296
82,0.0153769269211626
83,-0.2620928888032403
84,0.1385627958893089
85,0.1709861482008004
86,-0.0384386231285282
87,0.1659711229433509
88,0.3556167369296535
89,0.0888252148997195
90,-0.4162430706078604
91,0.0
92,0.0163017941562714
93,-0.2740437316102145
94,-0.2235799780274787
95,0.2216420744928758
96,0.2221092220900386
97,0.0901056344778718
98,-0.1545684085214358
99,0.4196940726577533
100,-0.0048191609840682
101,-0.4064548907652497
102,0.1753627105119405
103,-0.1296430644225268
104,-0.6523220718527911
105,-0.2537823328452815
106,0.1413324236073844
107,-0.6832762914167171
108,0.1946668625578391
109,-0.1176730161064845
110,0.1187575753865637
111,-0.185212442351093
112,0.0171690662480668
113,0.1322718922229076
114,-0.0637270521336284
115,0.2737650020776819
116,0.0683944405090433
117,0.1828643877700297
118,0.0024381323905865
119,-0.1244995605897839
120,-0.1515818297393781
121,-0.0562636072310872
122,-0.2550582464745605
123,-0.0638052467545193
124,-0.4833181268956764
125,0.1466562377786493
126,-0.1283529488546076
127,-0.1437877170432071
128,-0.1811515125059985
129,0.326313957535677
130,-0.0097903771470875
131,-0.0087033148750451
132,-0.1296296296296355
133,-0.0435919790758475
134,-0.2863450567225518
135,-0.2322371447976693
136,0.0831855694927859
137,0.0087556090620598
138,-0.1227289662276188
139,-0.1602423390991347
140,-0.0373306396714938
141,-0.2112536584292365
142,0.3836205006795563
143,-0.1009391731765074
144,-0.0680705298522215
145,0.5872080331805277
146,-0.0828233974022271
147,-0.1073639087548834
148,-0.0503282275711199
149,0.0
150,0.7456327226246272
151,-0.0767525157768968
152,-0.061866666666671
153,-0.2062913517962258
154,0.3228212230982284
155,0.1478739135522703
156,0.141290953129652
157,0.0679434370886222
158,-0.3526341021680135
159,0.0436606819585509
160,-0.1290184997600813
161,0.1224707135250242
162,0.0617297090189277
163,-0.3267415538376179
164,-0.2741016745899123
165,0.2157312897551521
166,-0.2290756446500428
167,-0.0685812258894113
168,-0.0278688876026315
169,-0.0836766220391441
170,0.2866800735954884
171,0.0224586920485452
172,-0.0824164062165498
173,-0.148999346117976
174,0.1145659343012602
175,-0.2610244102064983
176,0.5346593471875393
177,-0.0814753647123599
178,0.4352020345969203
179,-0.6076915441541386
180,0.1156693399136285
181,-0.0639343900879694
182,-0.6133200243997087
183,0.1804534585067748
184,-0.0321155273037313
185,-0.8814657580158626
186,-0.0223488657950659
187,0.14282844964181
188,0.0501879259003207
189,-0.1083000245628952
190,-0.2417459429210932
191,0.1497474408832899
192,-0.0827647914103578
193,0.1808600902067615
194,0.0580201731678994
195,0.0914097161839716
196,0.2801307276729246
197,0.0533297780147884
198,-0.0511338372609962
199,0.3765227021040949
200,0.1813181464174466
201,0.4168686379059688
202,-0.2916869227029766
203,0.0655865134695359
204,0.1334238998593012
205,0.4299516908212494
206,0.1133978333775731
207,-0.0410330678252512
208,-0.3536479023350539
209,0.6509523637632605
210,-0.0662219760637739
211,0.0096313597072115
212,0.2210316411599394
213,0.1415479103689782
214,-0.2501322814950263
215,-0.0505330028635319
216,-0.2605611715602268
217,0.3797437931117322
218,0.0456445490799014
219,0.2632268749224367
220,-0.6350232081499793
221,0.2465423932651779
222,-0.2145302029600314
223,-0.2125706555872253
224,-0.1766485178463444
225,0.78663001170418
226,-0.3003084987305047
227,-0.0600977955035996
228,0.3104490618447172
229,0.2282298600733682
230,0.1573393375471296
231,-0.3170369967207817
232,0.1914876279979468
233,-0.1959450265342297
234,0.3201041694924468
235,0.3554582437929956
236,-0.1529590123991547
237,0.0338290415555946
238,0.1067856177345179
239,0.2144620240359368
240,-0.1201890614449677
241,-0.1867085182379039
242,-0.0839539607312125
243,0.3992123647937901
244,0.24271322168166
245,-0.0948071536306917
246,-0.0754716981132001
247,-0.1106343938044807
248,0.3468860922878403
249,-0.231793434316213
250,-0.0165234633179214
251,-0.3892599637280468
252,0.3064846867902865
253,0.1057245435122614
254,-0.0881814774806501
255,0.3646187976365603
256,-0.0945387388971961
257,-0.3932163285756683
258,-0.1677205765466676
259,-0.1217266187050314
260,-0.3576665037543906
261,-0.1512926623058797
262,0.3270981405302366
263,-0.2857778271989381
264,0.0264802539792091
265,-0.1266918967052519
266,0.1145169718599527
267,-0.0678667586390934
268,-0.0155784038812591
269,-0.1102830598536126
270,-0.1427918028580768
271,-0.0345943533087764
272,0.0479627006346636
273,0.2481196314922802
274,-0.1203101327867437
275,0.6415837954264266
276,0.3516302858708475
277,-0.1635238824915036
278,-1.1427117428667255
279,0.4157932321301069
280,-0.1522666974276214
281,0.5301083165044984
282,0.0527535035207271
283,0.2619328125178679
284,0.1404911479154789
285,-0.8152737154832963
286,-0.5232087047111913
287,-0.3484725287489836
288,-0.5348467862481231
289,0.6727601725977769
290,-0.0603528319405735
291,-0.4957135358954919
292,0.5855981944345581
293,-0.0533911873216217
294,-0.1440687812245857
295,-0.4968211618959763
296,0.5405876204854224
297,-0.3309020576515312
298,-0.494122055173063
299,-0.2982971227245994
300,-0.1027626421948205
301,0.1431844215349424
302,-0.0837852994536263
303,0.302600247642621
304,-0.101302632676643
305,0.0928737274513273
306,-0.5928853754940766
307,0.2365930599369106
308,0.2110534788052205
309,-0.054880158436622
310,0.1203527168732114
311,-0.1049718484588218
312,0.3778966131907249
313,-0.2358490566037757
314,-0.202907545773547
315,-0.1290723522241127
316,-0.3429750083944948
317,0.5070812403803706
318,0.5210558799791087
319,0.1718070547531364
320,-0.3316769300268762
321,0.3388465001658705
322,-0.2613323196806913
323,-0.10702309320522
324,0.4663384149228223
325,0.8106200766751226
326,-0.2025877721078579
327,0.1221677133639999
328,0.0762965647471679
329,0.0073620764564941
330,-0.6717612949060138
331,0.2833674778379862
332,-0.0958239904942601
333,-0.2536169231655881
334,0.3169739047162984
335,-0.4530850183735149
336,0.0922633349351308
337,-0.0981259860699563
338,-0.1773254693342505
339,-0.3287438118811969
340,0.1236093943139652
341,0.1138227066653866
342,-0.4408273991183408
343,0.3716216216216128
344,-0.0946841606925487
345,-0.2023370412322149
346,-0.1056365327957964
347,-0.328646714505171
348,-0.1831323423405978
349,-0.5150197783260758
350,1.181133571145454
351,0.3895454425815329
352,-0.4043340380549761
353,1.0123734533183364
354,0.2179559128698493
355,0.6186930919089966
356,-0.0467156315693874
357,-0.5808110471566422
358,0.5477745038227426
359,0.2111344265692592
360,0.0388440024860249
361,0.2222107384631173
362,-0.0827514869407792
363,-0.3164885337760637
364,0.4300714202688821
365,-0.4918883841661212
366,-0.1559859612634922
367,0.0051992617048479
368,-0.0858614768174119
369,0.4352106108491805
370,-0.0751821222098264
371,-0.1609929630495195
372,-0.2499023818820867
373,-0.0938012975846053
374,0.2909771115325672
375,-0.1481450128039594
376,0.4550529841784871
377,-0.0009901713902435
378,0.3097198303020088
379,0.0167989584645837
380,0.0734414671506737
381,-0.0335845175374085
382,0.2303616678184678
383,-0.1909357952161074
384,0.252194933079391
385,-0.7496046389035333
386,0.472193074501574
387,-0.1050420168067226
388,-0.1514896482073782
389,-0.2108459138061904
390,0.2292950754149466
391,0.1879205904275942
392,0.113253845911855
393,0.0335454383445259
394,0.6633343746745813
395,0.0437172120909393
396,0.0998253057149907
397,-0.108261159227178
398,0.0239366407526531
399,-0.1636610028145575
400,1.0592080285814316
401,-0.1793779957641274
402,0.8071649712516535
403,0.7266580316568247
404,-0.0790948039108016
405,0.2520271751041056
406,0.0919600630583324
407,-0.032853669754919
408,-0.5904514309634508
409,0.2373782886783834
410,-0.3440594605324104
411,0.1541476734711828
412,0.0121101361839874
413,0.0143099310921774
414,0.2130931458699408
415,0.141495464467097
416,0.0383755098460494
417,-0.0833991747871116
418,0.0920931456387352
419,0.0306882946076252
420,-0.1229040470546928
421,0.2058784878882118
422,-0.1238994331326815
423,0.0471253534401577
424,-0.2130650617229774
425,-0.1565874730021709
426,0.2665661434072024
427,0.228347302815394
428,-0.1789679068828689
429,-0.89469968502227
430,-0.1877091324573567
431,-0.054438063093712
432,0.0462509522254913
433,-0.8505734511331896
434,-0.7212933535995458
435,0.6205277864290158
436,0.0358554799033646
437,0.3474597138245142
438,0.4399046646237682
439,0.316326807678737
440,-0.1713539683403131
441,0.1195327356696543
442,-0.149639504829278
443,0.119568466534416
444,-0.2506607052226267
445,-0.0763106954933334
446,0.1796162743230284
447,-0.1635545863431827
448,0.1211560190037961
449,0.1427328584633726
450,0.6818730388607263
451,0.1855108776832779
452,-0.3166086620262959
453,0.0881376396015717
454,0.2036291780128749
455,0.0240923217770414
456,0.0264945324919344
457,0.2714323460882504
458,0.2240889645172506
459,0.0981671475260605
460,0.0705826055748333
461,0.0191373824845068
462,0.0023921155870365
463,0.1278146090903585
464,-0.4825177343271736
465,0.0827516730229611
466,-0.3224486849387665
467,-0.1518291801224262
468,-0.0144620131122257
469,0.3051784212423361
470,0.1128126350151282
471,-0.1105344098423633
472,0.0096107640557336
473,0.1247840276444707
474,0.1174468493084902
475,-1.6452968341754706
476,1.1074949940435417
477,0.7895994166017158
478,1.0648090558527112
479,0.3075473102011481
480,-0.7311936917523996
481,0.3303618117980926
482,-1.2390495997983144
483,-0.236266235407086
484,-0.1444697978662791
485,-0.0048336074908356
486,-0.7393244104525117
487,0.0
488,0.4820499809717055
489,0.1545242679096194
490,-0.9074410163339413
491,-0.2819717515572443
492,0.2276214833759556
493,0.1277139208173691
494,-0.9306762226404428
495,-0.1497508455758912
496,-0.5712653527563524
497,-0.3387092571845474
498,0.2922571343213789
499,-0.3427871331004634
500,0.1744059298016061
501,0.1306335728282218
502,0.2292913689901498
503,-0.1220352089701908
504,0.018120756722798
505,-0.2276304637365293
506,0.0266305137268226
507,-0.0932937541648975
508,-0.1322398272389818
509,0.0630471155944593
510,0.2370757432808423
511,-0.1259537362238056
512,0.094376149453099
513,0.0060493871970714
514,-0.0278349267820426
515,0.0121006776379504
516,-0.1235794421963195
517,-0.1917941247875747
518,0.0945936112930323
519,0.0799767340410023
520,-0.0654783557657285
521,0.1356227749388492
522,-0.083623186649383
523,-0.3160978930859692
524,0.0352446464597454
525,0.1687316203056425
526,0.3231101611514245
527,0.0468780019212295
528,0.442319187089067
529,-0.1772412636823092
530,-0.2930649306973433
531,0.0408442489448546
532,-0.1250420733759709
533,-0.5244459482321135
534,0.2435025796807924
535,-0.2731778073250321
536,-0.0265996034240839
537,-0.1962542097739447
538,-0.1018651015013014
539,0.0557521694865996
540,0.2225124558602909
541,-0.0387127994193003
542,0.0495761840848318
543,-0.0399187109885374
544,0.0531966341038851
545,-0.1428675206431399
546,-0.2865538259792629
547,0.2132454503598506
548,0.1596787070863397
549,0.0459469916811756
550,0.1574476900766502
551,0.8463086972597684
552,-0.3587037189741917
553,0.0164894055569381
554,-0.074257425742577
555,0.257175187737887
556,-0.0102880658436237
557,-0.1297978861487103
558,0.1666049611255095
559,-0.4109956835126725
560,0.0185842900801137
561,-0.3689119170984399
562,0.0145056675715426
563,-0.095413909688656
564,-0.1787012987013015
565,-0.137331197070273
566,0.1724066303851192
567,-0.0519566889041295
568,-0.273017186891431
569,0.2826358006732981
570,-0.1738189160777369
571,-0.0114504611413001
572,0.15174822267493
573,-0.0332709503015231
574,0.0602672540992166
575,0.3061491826264575
576,0.2020567863374376
577,-0.0185092149448671
578,0.1715763910885802
579,-0.1493622364681773
580,0.1491394784077705
581,0.0026395671110064
582,0.076488895922341
583,-0.2114500185018796
584,-0.1469089561522956
585,-0.1869629786782754
586,-0.1061909312944614
587,0.1067140762867744
588,-0.0590139574377735
589,0.1166180758017486
590,0.0688632270367599
591,0.0635256749602988
592,0.2995236650085083
593,-0.3163551649282557
594,0.224517287831154
595,0.0554382259767783
596,-0.0171623958704629
597,-0.1745685379885009
598,-0.0198412698412668
599,-0.3104848340100353
600,0.6840747400515987
601,0.2288032032448442
602,0.5764657222624241
603,0.5412076257568598
604,0.0937556189155195
605,-0.0694016039481754
606,-0.1557532148235916
607,-0.3241386435249743
608,-0.1629802095459825
609,0.1768951670174448
610,0.56364430064453
611,0.14487365222631
612,0.3131230509687702
613,0.0038340128055992
614,0.0025559432069396
615,-0.1125881193945823
616,0.182621577441759
617,-0.0766831961556041
618,-0.2357161158083566
619,-0.5927835051546421
620,0.0540944334252027
621,-0.0399427916145836
622,0.2531873329220681
623,0.030835646006785
624,-0.7247127031783858
625,-0.1430835087387409
626,-0.0946902445375511
627,0.2598160604291874
628,-0.510323223693576
629,0.0047460844802994
630,0.3511592986272896
631,-0.112449989346835
632,-0.4613884462625152
633,-0.0571115817528517
634,-0.1334381776157462
635,0.4069912312967891
636,0.0675883985106896
637,0.20117390892738
638,-0.0805343692263904
639,-0.3344561089633478
640,-0.298603165522503
641,0.22119158044952
642,-0.0678304951626071
643,0.2172035881101832
644,-0.2570476190476256
645,-0.2132633685686346
646,-0.2646411483253591
647,-0.0646350513489531
648,-0.0874534280545827
649,-0.2245275316379709
650,-0.0866164466258915
651,0.5222068461317527
652,0.2396394988408783
653,0.3103049817582199
654,0.0090876045074435
655,-0.2107563812348769
656,0.2173083363839553
657,-0.303906249999993
658,0.0468530376386086
659,0.0278177580344258
660,-0.0486592033324603
661,0.0364355611076375
662,0.0312207305650964
663,-0.0911434598057401
664,0.2260444813968002
665,0.0233784450736503
666,-0.051979104400043
667,-0.0494045452181594
668,-0.0130028866408372
669,0.2774896265560295
670,-0.2039941270480685
671,-0.0819245773732113
672,0.0286004004056092
673,-0.1497259364380821
674,-0.0325597145164231
675,0.2385834590732674
676,-0.432603261362301
677,-0.219372257846784
678,-0.3229587185831512
679,-0.5499541704857839
680,0.5002996586497014
681,0.3272472274887648
682,-0.4932660402813368
683,0.3316467879765364
684,-0.4061536854202598
685,-0.1072035560204013
686,-0.5151252332518541
687,-0.2701171386030422
688,0.0987257792754844
689,-0.1344475786254688
690,0.0447957839262229
691,-0.1795047779948278
692,0.3315091559671624
693,0.0920011565859744
694,0.2098470739448656
695,0.0262240054545841
696,-0.2471148032282651
697,-0.2582957750190984
698,0.1158351981045143
699,0.0184249315645381
700,0.0702883828922656
701,-0.3216029857462313
702,0.3047895500725617
703,-0.2248082517852329
704,-0.10325381906755
705,0.161239162613664
706,-0.1482422702244817
707,0.2205523052338346
708,-0.0330277168599889
709,-0.0449378799894305
710,-0.0820127516600974
711,-0.2838798684070872
712,-0.3781624500665821
713,0.0917931594141274
714,0.0273974060242245
715,-0.0966492272055592
716,0.1395868230039175
717,0.3866832640305054
718,0.0978991374292227
719,-0.2360429651239852
720,0.0900924772781406
721,-0.0721790379557788
722,-0.1002813611509208
723,0.1590077913817686
724,0.1349741961095799
725,2.9272030651340946
726,-1.1000929656027243
727,-1.7447474313550153
728,0.3835734757174879
729,-0.142849654015521
730,-0.1838138753216713
731,-0.1314682372738746
732,-0.1415283747934583
733,-0.522087821921078
734,0.1163251817580959
735,0.1056384523966663
736,0.0
737,0.250263435194954
738,-0.0105385182843346
739,-0.0672282200340083
740,0.1184974523047724
741,-0.0565684329173986
742,-0.0501647555028283
743,-0.026367831245886
744,-0.0105482450357375
745,-0.1955240838111216
746,0.205669083717857
747,-0.359893090581919
748,-0.4131956900102321
749,0.0332040588641555
750,0.1760825355885215
751,-0.0918456000992936
752,0.0372208436724509
753,-0.4862236628849242
754,-0.1673410260252799
755,0.0461847640208211
756,-0.9509269092758404
757,-0.136731861198744
758,0.0995852714644031
759,0.5179202929447463
760,-0.1519699576744731
761,-0.2227984492220912
762,0.1232053506323583
763,0.0527744270205157
764,-0.1913586463893621
765,-0.108386056007866
766,0.3428829801931722
767,0.2693088157927671
768,-0.0727035699959939
769,-0.0928458507942095
770,-0.2767922296872162
771,0.047786720321931
772,0.3034026228028333
773,-0.0075229449822031
774,-0.0803091903829727
775,-0.3195967364755915
776,-0.2422316568124415
777,-0.4027301969193809
778,-0.0601842160351584
779,-0.4468275245755258
780,0.2019778086719404
781,0.157137993347816
782,-0.0392999371200946
783,-0.0747256781027609
784,-0.546236321024563
785,-0.0060638017400389
786,-0.121423292155009
787,0.2606429192006974
