,NVDA.US
0,1.0051521736159503
1,-1.4290619831456275
2,0.1525589003177042
3,-1.4599043326069638
4,-0.8840274587164616
5,1.3076055353426177
6,0.0492282284189892
7,-0.9118151370927768
8,0.0848597412578411
9,-0.3083643839136514
10,0.673196567016563
11,-0.4450372434674604
12,0.0790295883832933
13,-0.3496465295629811
14,0.0353345539815661
15,-0.8082535118226443
16,0.6979128213505155
17,0.0210898569361895
18,-0.2740167633784728
19,0.7842902702396786
20,0.8806708302951488
21,0.5767826315270254
22,-0.631173280045686
23,0.2278553118769667
24,0.4191352577839355
25,0.0270517025665441
26,0.5803875794906264
27,0.145557084829975
28,0.2060266997202757
29,-0.0502756783026854
30,0.0853956665885253
31,-0.0586392346742209
32,-0.3412682401990405
33,0.2132822824727007
34,-0.2963573651888584
35,-0.1364693196751793
36,-0.1484831100462314
37,0.1491041117354187
38,-0.3542142192915569
39,-0.334209868733438
40,0.159242546112506
41,-0.3313847774737914
42,0.176417702837944
43,0.154127570204256
44,-0.286206867266248
45,0.3866871600371123
46,0.2901103350541576
47,0.1482429837269626
48,-0.0741764725715726
49,-0.1164576617326774
50,0.4868686583593296
51,0.0972790074721473
52,0.1098467778278625
53,-0.122671705136702
54,-0.1468573929988671
55,-0.1399926468508738
56,0.1083696637263347
57,0.062507940541232
58,0.2779278181631553
59,0.2584508673766799
60,-0.1744108359764558
61,0.3371322034848638
62,0.2806489494989849
63,0.010804313339069
64,-0.0398506648768938
65,0.2775946482295234
66,-0.1593251585151271
67,-0.1048555091084485
68,0.1563394240567295
69,-0.0789299060524486
70,-0.3159322987802513
71,-0.1418266531941265
72,0.1232200477938632
73,-0.1318035087719372
74,0.049098688363614
75,-0.4607576862787682
76,-1.0650312137277784
77,0.5785420005523684
78,0.1432798168709117
79,-0.2607338017174019
80,0.0616169671501531
81,0.0160063026766779
82,0.4213854064718725
83,0.0901921507219317
84,-0.0534982248528121
85,0.293168586646854
86,0.0557103064066873
87,-0.1503339894301299
88,-0.1637753715993423
89,0.1325519743267783
90,-0.0493398679317007
91,0.0369175905108971
92,0.1439895955905044
93,0.2301620402551877
94,0.8014097456328559
95,0.3131901108118323
96,-0.2243315446619365
97,-0.1479562110944034
98,-0.2397719607432445
99,-0.0107440938225243
100,-0.0226726522468649
101,-0.1817108072502638
102,0.2175785322514927
103,0.0860507246376801
104,-0.0629018604086279
105,-0.077645244682298
106,-0.2363958721643907
107,-0.0318326512050901
108,-0.0318427876086035
109,0.2049650106795085
110,-0.0506426851978046
111,0.1858736059479667
112,-0.058970288047187
113,0.0362309147195047
114,-0.0067569099607788
115,-0.0068027210884291
116,0.4874086108854646
117,0.1307071708658187
118,-0.1309234276213661
119,-0.1558975749768325
120,0.2727190768121122
121,0.350283308133416
122,-0.1708963282937314
123,0.1348072256672881
124,-0.0494537607337073
125,-0.4369989807467244
126,0.6480498632088357
127,0.3422518742691913
128,-0.0705497720037801
129,-0.1464759607099815
130,0.0068925112865005
131,0.5398550103686399
132,0.029126546276935
133,-0.0557141265310553
134,-0.438715053883782
135,-0.0589203111405877
136,-0.0491243794815364
137,0.2733132788998765
138,0.0527096324619784
139,0.1540770728444027
140,0.1481621047583174
141,-0.0968701511345902
142,0.0659653210883405
143,0.2810596546981354
144,-0.1034754053499381
145,0.1434622216149801
146,0.0682687056253374
147,0.2262924630425173
148,-0.3055546066341018
149,-0.1642429426860626
150,0.8199528194201252
