,MRNA.US
0,-0.2617344268016028
1,-1.1025844579694803
2,-2.411924119241194
3,0.0451467268622999
4,0.449438202247191
5,0.3292494456514496
6,-0.7105022509689447
7,-0.1409996927914355
8,0.1182257118361086
9,0.2161285965149217
10,0.0562518281844159
11,-0.187105500450853
12,0.2563295408553281
13,0.213152639727162
14,0.0695067264573996
15,-0.4007023546891118
16,-0.0157604412923674
17,0.4504664023966392
18,-0.2966909450589073
19,-0.0990099009900985
20,0.3231199670913814
21,-0.0315458828808629
22,-0.0305231122801589
23,-0.2980370970646525
24,-0.0090049527240028
25,-1.196869277762468
26,0.0467121391956999
27,-0.499536405213099
28,-1.321018604037468
29,0.8429785963308958
30,-0.1990299216727327
31,0.3207650535637445
32,0.0140778363900577
33,0.2875216015748001
34,0.0983275850849127
35,-0.0455729166666622
36,-0.1954986389459129
37,0.7128518315463744
38,0.4635443527591606
39,0.2475804636506806
40,0.0660314155304054
41,-0.0921432224077028
42,0.5345489443378276
43,0.1979439371687646
44,-0.1614888956398165
45,-0.1537303633481068
46,-0.4455525172912951
47,-0.3223482755593707
48,-0.2884515794924994
49,0.6687242798354041
50,0.5457271364317877
51,-0.1060593932602202
52,0.0679918409790775
53,-0.024443040714269
54,-2.121907874578689
55,1.2944331310361543
56,0.0997854029706724
57,0.0391817339830138
58,-0.5791818550020278
59,0.4575967101417102
60,-0.1829696827717697
61,0.2650660650982982
62,-0.2220517582461994
63,0.3920937807894132
64,-0.2843200516212228
65,0.2413904087544232
66,-0.4485754697918827
67,0.1605017272697267
68,-0.3188699101432867
69,0.2261529763347073
70,0.2497582984208848
71,-0.5146394891666626
72,-0.0907819813977951
73,-0.2498679559582371
74,0.3037913156189242
75,-1.5239132995641411
76,-2.453006668074705
77,-0.4790056086099693
78,-0.2218035974720522
79,0.1259653372281117
80,0.0985266177994818
81,1.4813631204826487
82,1.1382593932235971
83,0.5414971092647023
84,-0.4776925346709934
85,-0.6414444378452124
86,-0.4776522710563229
87,2.371475180610568
88,-0.5536190280910356
89,-0.2057595050030863
90,-0.3590891684095779
91,-0.3803850925946777
92,0.3848125128869765
93,-0.026517383618159
94,0.9051094890511014
95,1.3110502809393492
96,-0.1269438273563941
97,-0.714775326231201
98,-0.0145597210113299
99,-1.0708338828441977
100,1.1167949198509466
101,0.217812197483061
102,-0.1884650568150422
103,-0.3683628318584116
104,0.0828958275766786
105,-0.1273351885802551
106,0.2759739543096873
107,0.2520724032788582
108,0.374007457775819
109,0.1598668506230467
110,-0.1380261341761338
111,0.2557910624056688
112,-0.1423814947866543
113,0.2904881511412124
114,-0.0371438559692396
115,0.0678398054807656
116,-0.0777256984277891
117,-0.4003861257980273
118,0.0021938484489471
119,-0.2352941176470573
120,-0.3486550301211431
121,0.5377288090952962
122,0.0263308026506351
123,0.0603050338256367
124,-0.3311258278145685
125,-6.142936083993366
126,0.1937663846575317
127,0.6692609277618062
128,0.4148026913984406
129,-1.6357083448849463
130,-1.6774285692808384
131,-0.3313430959713364
132,0.3007707249827619
133,-1.8767954037663568
134,0.6910105236465091
135,-0.3250036570861582
136,-0.6335801985546549
137,-0.4204132789150622
138,1.3974269598833793
139,-0.370912472671366
140,-0.3235483877143358
141,-0.105343852812481
142,1.221051303085759
143,0.4255180109986221
144,-0.1626294616108842
145,-0.0747621875907301
146,0.1672576226403886
147,-0.8344534618310967
148,0.309714935844769
