,ADI.US
0,0.1323501607109118
1,0.1321752265861051
2,-0.0107909787417774
3,-0.1296596434359854
4,0.1833477135461623
5,0.1292546316243047
6,-0.1726370306430692
7,-0.4606796379600145
8,0.1299052774018994
9,0.0703158805711788
10,-0.2276916404640504
11,0.3511425638809387
12,-0.048643389903796
13,-0.0162170928158284
14,0.027021184608724
15,-0.0973709834469211
16,-0.0649561545956503
17,-0.1002411205331756
18,0.1001407383349584
19,0.1971853812700795
20,-0.0675748729592388
21,0.0324254215304811
22,0.0917877004481485
23,-0.0972815219153687
24,0.0540160967968423
25,-0.0964608834486497
26,-0.2200146676444989
27,-0.989765688122811
28,-0.05389382915657
29,-0.256652708361472
30,-0.006754474839575
31,0.2828854314002745
32,-0.6303375355835752
33,1.132480064330227
34,-0.2923485332168435
35,-0.3710074538770164
36,-0.1553896564537501
37,0.2728742757040838
38,-0.0303285593934203
39,-0.1045742814734861
40,-0.4064489906516693
41,0.364470842332608
42,0.5904455179817468
43,-0.0134210173131001
44,-0.4584063637589368
45,0.1010169034951886
46,-0.4668470906630566
47,-0.0744803304218387
48,0.2162016079994549
49,-0.5639353172985352
50,0.0164230579733952
51,0.2021416083916108
52,0.3647052419574416
53,-0.7402939241061605
54,-0.1482783239057665
55,-0.2698237885462605
56,0.5367510132544737
57,-0.0109553023663509
58,-0.0932068644114348
59,0.28429282160626
60,-0.0328137817883523
61,-0.1149802890933026
62,0.2021747445494806
63,-0.0218615073509274
64,0.0191251605147381
65,-0.1669403393541362
66,0.0218890226551496
67,-0.1397375126722719
68,0.0520319859787484
69,-0.0328731097961879
70,-0.0630465173652087
71,0.0411003945637815
72,0.0492961603768436
73,0.1258205689277998
74,0.3597514444565554
75,-0.1252191334835891
76,0.2248875562218975
77,-0.1086261141681253
78,-0.5004713720067712
79,0.3865959211782432
80,-0.0391444587104249
81,0.0844806007509507
82,0.0062574306989493
83,-0.012516427811509
84,-0.0062586055826704
85,0.0
86,0.2372627372627344
87,0.0187277607840696
88,0.0031211960423205
89,-0.0156084160579419
90,-0.3005823783580623
91,-0.163080975976912
92,0.3126367785906334
93,-0.0750891683874629
94,-0.1002192295646705
95,-0.0187946372635015
96,0.0062644866253153
97,0.0250516690674466
98,-0.0281910728269303
99,0.115762467930669
100,0.1989389920424307
101,-0.1509388395822013
102,-0.1027438655868412
103,0.2050663449939707
104,-0.1147273715355339
105,-0.0604193100114934
106,0.0422756371542587
107,-0.1845409166540655
108,-0.0938711240310084
109,0.1028495371770751
110,0.235393529695808
111,0.0301695528872159
112,0.0783793560834582
113,0.075308009759918
114,-0.0753647654648498
115,0.0421864641716345
116,0.1864773820981726
117,0.234051491328084
118,0.0719640179910072
119,-0.120084058841182
120,-0.1081925827973834
121,0.0600708836426949
122,-0.0120156203064044
123,0.1080237652283543
124,-0.1562781751517646
125,0.0860955660783451
126,0.139709833422886
127,-0.0161229644757355
128,-0.0564622375178069
129,0.2654724873967631
130,0.2087235750602014
131,-0.0642639104589538
132,0.1977552111170521
133,0.1254437238102936
134,-0.1363053239255909
