,META.US
0,0.2157434402332388
1,0.1978584729981397
2,0.2032928151191141
3,-0.002932891947621
4,-0.1250218061289779
5,0.0581158830708399
6,-0.0581496772692878
7,0.0177615711112581
8,-0.0352157729440539
9,0.229204746569188
10,-0.0858368101694074
11,-0.1161130896140583
12,-0.159713941702241
13,0.0592206733987194
14,-0.1457173665957508
15,-0.0384841894121846
16,0.0544895610239409
17,0.030586384689335
18,0.087313367676578
19,-0.0625554786717178
20,-0.0918789716084662
21,0.0489179347016879
22,-0.2066740628284465
23,-0.0423512230741093
24,0.234570779182938
25,0.1715718622145908
26,-0.1718667371760912
27,-0.3259057147188167
28,0.1471229293809951
29,-0.1929026387625143
30,0.5054696341003515
31,-0.2382122736038096
32,-0.2261312531431014
33,0.2143019210406995
34,0.207329047878893
35,0.4061337242079167
36,0.2161664286485904
37,-0.2430075187970031
38,0.026308866087869
39,-0.3469734112766419
40,-0.1813579174065671
41,0.0623029433420671
42,-0.015106025415874
43,0.3852994817530139
44,-0.0523938572719123
45,0.1203007518796966
46,0.048848307218275
47,0.0750948071940782
48,0.2023457113950689
49,0.2504298422665829
50,0.0412847824291903
51,-0.0936664921898606
52,0.0633225042673911
53,0.1292309384365724
54,-0.4668508287292811
55,0.002762354631085
56,0.1241516305247444
57,-0.0745465087385023
58,0.2728666973217171
59,-0.149183763512022
60,0.0881639850121206
61,-0.0744437398329101
62,0.1032872901546555
63,0.0784367689555593
64,-0.1930235764511362
65,0.0702663231424189
66,0.0839734588805393
67,0.0440322536257877
68,-0.0787696511000213
69,-0.0046823313603263
70,-0.0074371970030814
71,-0.0137744841455718
72,0.1045766023612283
73,-0.0550430776101925
74,0.0880079231890886
75,0.3669700808379009
76,-0.3630596623676184
77,0.0942541625429877
78,-0.4326464051342092
79,0.2099765088780722
80,-0.1498324242623363
81,-0.2569508499143557
82,0.1631278448706829
83,-0.01578905818268
84,0.3997012069666044
85,0.2183748725056828
86,-0.1235669933943125
87,0.0004975124378051
88,0.1072428134236679
89,-0.1021156263091711
90,0.0510317574552145
91,0.0300604426812181
92,-0.1598186677847025
93,0.0078606052665983
94,-0.0957289166896028
95,-0.0380437634465127
96,-0.2446016674995415
97,-0.1606954689146356
98,0.0
99,-0.1953228105368762
100,-1.3861234492265075
101,0.6198133253776248
102,0.3530639894827864
103,0.0360479881735315
104,-0.3365914882288027
105,-0.1905269976755706
106,0.3493449781659448
107,-0.5306153611238522
108,-0.3832004904966278
109,0.0038701751656694
110,0.0286923710471427
111,-0.1304156038434367
112,-0.3869849826723124
113,0.2764764611013083
114,-0.3759956368317736
115,-0.3809100054167088
116,-0.3338119822158384
117,0.2439298299965226
118,0.2679552825966597
119,-0.2104652062853289
120,0.0267750877155059
121,-0.3756379086693404
122,-0.2811573916663862
123,0.3608599479995247
124,-0.8808330723457565
125,-0.1990434458859561
126,-0.0773860705073197
127,-0.112393305984379
128,0.3222503467902158
129,0.2695533116549698
130,-0.3995016968082769
131,-0.0745145804972389
132,0.1402343917691023
133,0.0829270385038714
134,0.031445192458875
135,-0.0901287553648062
136,0.1028983021780179
137,-0.080067486679018
138,0.3837836312918654
139,0.023076403693483
140,0.2399020042517788
141,0.0022736315580168
142,0.4019474637681043
143,0.008491126772531
144,0.2667569970783738
145,-0.1269623053098674
146,0.0647393619275067
147,-0.0466272925085541
148,-0.1103315604843234
149,0.256779254493628
150,0.0528071150639237
151,1.1647071750357127
152,0.7876161665712769
153,0.1822633297062067
154,0.0435066347617925
155,-0.1170609533661848
156,0.7484463658470788
157,0.2237618957754789
158,1.0589490530808137
159,-0.6943045539395349
160,0.0093997582919363
161,0.1876691629354779
162,0.3233578341063656
163,-0.2599319563877821
164,-0.3386823643254705
165,0.0
166,0.1931589537223413
167,-0.1773764411835913
168,-0.06454215409438
169,0.0376354203069938
170,0.1529954906592208
171,-0.4475599892154287
172,-0.0755490799201264
173,-0.1946472019464794
174,-0.0297466129424691
175,-0.4473773161662986
176,-0.4537597234226532
