,QCOM.US
0,0.4471117779444888
1,-0.1291989664082707
2,0.0600564530658785
3,-0.3676913803495993
4,-1.0722553917387716
5,-0.3423401393813264
6,-0.0458701568759469
7,0.3231017770597745
8,0.2644859244847098
9,-0.4121004914680005
10,-0.0947201173307266
11,0.2255960002438903
12,0.1734684561307383
13,0.122616441545646
14,0.099174055629778
15,-0.0486085794142569
16,0.0971227388612338
17,-0.1946235251186118
18,-0.124836342599631
19,0.0154042582727791
20,-0.0946460675869108
21,-0.5823397799368726
22,-0.1319666093788383
23,0.531167958971857
24,0.352862444485011
25,-0.126448893572186
26,-0.1336522228474941
27,0.168539325842703
28,0.1542560650680121
29,0.0842789317382589
30,-0.323517008715202
31,0.0702345835089158
32,-0.0281017282562821
33,0.231303006939079
34,-0.2846799985941737
35,0.0316211088468947
36,0.0070264193366996
37,-0.0632777894958893
38,0.252472122869776
39,-0.0420964007577368
40,-0.0350926445817036
41,0.0771442597657715
42,0.0420609884332297
43,-0.1158016633329768
44,-0.1511211077528666
45,0.0772580418598014
46,-0.0702839471464677
47,-0.005060700288468
48,-0.1075147762454158
49,0.2526670409881985
50,-0.4191531685137847
51,0.1064509261230613
52,-0.578158458244113
53,-0.7181107841706441
54,0.3181052707011968
55,-0.0753012048192697
56,-0.0645855758880541
57,0.2933600457927852
58,0.0572082379862789
59,0.0928770450810855
60,-0.1968574394216011
61,0.075107296137352
62,-0.05009661490018
63,0.0429215251448617
64,0.0071530758226175
65,-0.0715819613457571
66,0.057232794391195
67,0.1000571755288639
68,-0.0142959256611735
69,-0.0071484738008573
70,0.1939187424819124
71,-0.0155558726987392
72,-0.057118377838058
73,-0.0357117348760884
74,-0.0428724544480187
75,-0.0979948741142736
76,-0.0452488687782822
77,0.1956947162426759
78,-0.2641310089804715
79,0.0150909228099375
80,0.2033132530120559
81,-0.1432772792398746
82,0.0828812537673185
83,-0.0904977375565645
84,0.2069614299153382
85,0.0564121850319583
86,0.1126972201352409
87,-0.2863170584689538
88,0.0129579349270607
89,0.0999473169263213
90,0.1427927250864254
91,-0.0902662855423533
92,0.2176686932372529
93,0.1244415124891277
94,-0.0419979001049821
95,-0.0450180072028828
96,-0.1201923076923051
97,0.0825639870899836
98,0.104971132938453
99,0.2318970676241788
100,-0.2825171726124478
101,-0.3809047182139196
102,-0.0528541226215638
103,0.3658536585365834
104,0.8082696431517011
105,0.0109956567155873
