,ORLY.US
0,-0.0928755328578003
1,0.434937911037336
2,-0.0073545635066611
3,0.1395417156286764
4,0.0691983476273321
5,0.1528411708052464
6,0.0439486846786471
7,0.0146474157773578
8,-0.0837696335078486
9,0.2089864158829676
10,-0.0439064166091658
11,0.144056119253413
12,0.3038881025726375
13,0.3691261250051904
14,-0.220300939396459
15,0.1017336240008205
16,0.0415066929542483
17,0.0933029234916003
18,0.1221810350183219
19,0.0972360145647193
20,0.0268878363564904
21,-0.304966598896317
22,0.1966995879661356
23,0.0434620638271409
24,-0.0766347010211065
25,0.4353533880143168
26,0.454996495043686
27,0.1846682126293342
28,0.2668564312399903
29,-0.0489476260401431
30,0.6586508708337057
31,-0.2459397779895007
32,0.1195033969947153
33,0.0110639051159522
34,0.1325908247149221
35,-0.4082719446170175
36,0.0643058296560792
37,-0.2133285926979481
38,-0.0856269113149826
39,0.1986593269999071
40,-0.2436446570617946
41,0.329334013439492
42,-0.2423191498821821
43,-0.1960172851605995
44,0.102358700489537
45,0.0289190932751975
46,-0.0300403876322591
47,0.1732659521297339
48,-0.2873787272909588
49,-0.925197292982892
50,0.4377617053673305
51,-0.1086065964216863
52,0.1559973366308259
53,0.2201932385489964
54,-0.4634044013882966
55,0.5792182923014116
56,0.0189560882216388
57,-0.1243167324627947
58,-0.0104398993973235
59,0.0275157978632525
60,0.2530725506192401
61,-0.0032179295462819
62,0.0075710256847192
63,0.0775428376895956
64,0.0151280208766765
65,-0.0208053564335862
66,0.015128879139153
67,0.0699221407513804
68,-0.0094498308480192
69,0.2394509596892759
70,0.056531242933586
71,0.3108944555590157
72,-0.0385244207242667
73,-0.1053483078427949
74,-0.2659574468085261
75,0.3364820645798527
76,-0.1592332070804626
77,0.0571675782577801
78,0.0494177965839849
79,-0.292728258344302
80,-0.0992232678563102
81,0.1115017112415448
82,0.0696400383793883
83,0.2269744460742727
84,-0.2787024850971517
85,-0.0743759393836122
86,0.2118316479574488
87,-0.0618869325741834
88,-0.0479853876755041
89,0.098196129371466
90,-0.1804802478698627
91,-0.1023509707834452
92,0.1161728031722919
93,-0.0930246980573377
94,-0.0325692484258253
95,-0.1040194997748768
96,0.0930650990367797
97,-0.2207402571157755
98,0.1133505170646902
99,0.1039259178830248
100,-0.2885722160076476
101,-0.0713833774071699
102,0.0948174561368023
103,0.1335383619294159
104,0.0242738085605778
105,0.1744665040466418
106,0.1580619667424748
107,-0.0419524001613539
108,0.00968038592471
109,0.1063709768401505
110,-0.1129451248043702
111,0.0967164756516309
112,-0.1275057296878471
113,0.1176830939368871
114,-0.0241873065015443
115,0.1915184678522659
116,-0.1498984558847335
117,0.0515513741663256
118,-0.0048331749125956
119,0.0257702900768225
120,-0.0757575757575801
121,-0.1614465611882467
122,-0.0856399566952627
123,-0.0622488823496108
124,0.2025042759867033
125,-0.0034001173040438
126,0.0772928805612528
127,0.0135881104034039
128,-0.3921902975530658
129,0.1158176213104338
130,0.1513553960749611
131,0.1138120233059968
132,0.0509346508429607
133,-0.1445234127928763
134,-0.043375830306947
135,-0.1183603262998239
136,0.0935787933439879
137,0.0076558605612526
138,-0.0238239072909641
139,0.0790668412371889
140,0.2078614031068955
141,-0.2014792144861105
142,0.1519408534152708
143,0.0720986649023815
144,0.0186573492995036
145,0.0373007799253838
146,0.179399519344694
147,0.0879299266123274
148,0.0473244768955097
149,-0.047346883560481
150,0.5828022221464839
151,-0.5862187178608154
152,-0.2084096738732193
153,-0.0710471432172901
154,0.750631212610607
155,0.1317552986074791
156,-0.4011163839632762
157,-0.0459326868225906
158,0.2333390245290484
159,-0.1744544024081517
160,-0.4650843108504335
161,0.1646843549862695
162,-0.5566033396200414
163,0.1699118295371071
164,-0.0735294117647043
165,0.0608544888797001
166,-0.0562933688709038
167,-0.0873884647226686
168,0.1790551398007505
169,-0.2116402116402153
170,-0.0598471595617325
171,0.1218474837345172
172,-0.1911825678352699
173,-0.2378148738195776
174,-0.1804177364513287
175,0.8909464121937337
176,-0.0786747672538165
177,-0.0306051066806545
178,-0.4347253326307509
179,0.2300059144378023
180,0.2861386571141501
181,0.2396931927133319
182,0.5756352677884691
183,-0.0882537892751007
184,-0.0868112073268733
185,-0.0825387171745684
186,0.2545686956333369
187,-0.1855831217034616
188,-0.0673327541268467
189,0.196182569016167
190,-0.0119241192411938
191,0.1871828440972505
192,-0.0292220442443376
193,0.0183956802614306
194,0.30099684978207
195,0.0086299892125179
196,0.1034527350316863
197,-0.5907795037452218
198,-0.2183595871808789
199,0.0152068126520666
200,-0.3219514042762808
201,0.2766787221786856
202,-0.0614169359563175
203,0.4121499548328919
204,0.1390716030821291
205,-0.0300785802910042
206,0.105164319248816
207,-0.0432111522347714
208,0.0657128909917056
209,-0.0272313254143352
210,-0.0216019235104082
211,-0.0103324222015693
212,0.0328650841346281
213,0.1631199025030476
214,0.0318638476533136
215,0.0898876404494416
216,-0.0393413139998944
217,-0.0524826151337318
218,0.044028515489609
219,0.0533677883264925
220,-0.1368835552222048
221,-0.1107544442567096
222,0.0918979744936251
223,-0.138977575780342
224,0.0863168955940709
225,-0.0184213464329534
226,0.3449043168669236
227,0.0778210116731568
228,-0.1144387614614025
229,-0.0815158063581906
230,0.0690146489158026
231,0.5845675236133164
232,0.0506138701471154
233,-0.3485171372757932
234,-0.2492433683460932
235,-0.278949365111245
236,-0.2259002460299689
237,-0.1635414566391151
238,0.1878312202321001
239,-0.0727256453002424
240,0.0570291183969216
241,0.269878443180559
242,0.2258742892748626
243,-0.2085052293557528
244,0.206961011215953
245,0.1954513148542989
246,0.0643686324994925
247,0.5452538631346638
248,0.2510239133306879
249,0.0726120536009067
250,0.171135196805472
251,-0.0494635111483127
252,-0.2163945052954673
253,-0.1384168925884957
254,-0.0257808247954226
255,-0.3016836822648173
256,-0.065167807103297
257,-0.1458817206365032
258,-0.1306963424244294
259,0.0566670188345943
260,0.0691051838485854
261,-0.0163191644587866
262,0.2317696860574322
263,0.0631699846860504
264,-0.0612932883849096
265,-0.0028732054437639
266,0.000957725975443
267,0.14918236587931
268,-0.0995539218501678
269,-0.0392626286808792
270,-0.2236256142506072
271,0.6029153628939876
272,0.0981634850896311
273,-0.0181111068746
274,0.0990363006132597
275,0.2310938441958596
276,0.177192337267236
277,0.7177887128762055
278,-0.1670711839611655
279,0.4386037504758587
280,0.2632947332799448
281,0.2839459432766576
282,-0.2541379936300417
283,-0.0396216135902149
284,0.1500065936964209
285,-0.0857915924239394
286,0.1416850637582809
287,-0.0304880560980329
288,0.127557318498295
289,0.1840017085872947
290,-0.0887938830880666
291,0.0854321717843793
292,-0.1439630138451287
293,0.1470370796300408
294,-0.0871481189160889
295,0.3514636124560641
296,0.0826771008988057
297,0.086694801583421
298,-0.2311740691554902
299,-0.3322860291819483
300,0.0449011311631104
301,0.0983402919154014
302,0.1283674928708665
303,-0.1112606085696511
304,-0.1485678747883795
305,0.1896682529829682
306,0.3025510554906124
307,0.1339055793991369
308,-0.1461359924353172
309,0.1964670252833298
310,0.1670178323654903
311,-0.0394146073962398
312,-0.0214255718485126
313,0.1377905583513169
314,-0.0865148231585611
315,0.0376754262032441
316,0.0453611776788942
317,-0.2641674195346676
318,-0.2082380256255824
319,0.2076682799574233
320,0.161069225496925
321,0.1403100509907149
322,0.2134307715949255
323,-0.0341605889285414
324,-0.0923187389944228
325,-0.5982471020638919
326,-0.3217557243247795
327,0.2473970122227292
328,-0.063417285740177
329,-0.0566546558796201
330,-0.0135989664785481
331,0.1809913802855164
332,-0.0158392541974008
333,0.1423503626544943
334,0.4386754251777172
335,0.3329559085660505
336,-0.0527177692532053
337,-0.215822486005256
338,-0.2208052632764838
339,0.3032481243541989
340,0.2956326987681956
341,0.2145443168104366
342,0.078158147428602
343,-0.196898843219295
344,0.1407632496201616
345,0.0803714949098083
346,-0.0245639891918478
