,ADP.US
0,0.0842135312589308
1,0.2751945340671779
2,-0.156821745948764
3,0.2843197649623249
4,0.0284238950210821
5,-0.0473956111664032
6,0.1088912034845136
7,-0.2182577339153577
8,0.2059707852932135
9,0.2338324909065164
10,-0.0378053967203743
11,0.0425129900802905
12,0.0118077695123418
13,0.0472087808332323
14,0.0047206552269546
15,0.1155224443606207
16,0.0235704520812628
17,0.2116850127011088
18,0.0141103428813325
19,-0.018817330761641
20,-0.0047045540082757
21,-0.0847537432903318
22,0.1410569870227625
23,-0.0188111361926356
24,0.1737007652222921
25,0.2049280312271224
26,0.1181817074210835
27,0.0085278495200099
28,-0.0633898966257048
29,0.2303536548879008
30,-0.0747322297955249
31,-0.1365054602184092
32,0.3013512199863928
33,-0.189919649379116
34,-0.2587637925983796
35,0.0878048780487838
36,-0.0658970541576115
37,0.0658536585365809
38,0.0
39,-0.2248948860858551
40,0.0732815477062903
41,0.0341863645243178
42,0.1268168959126033
43,-0.0976467141880759
44,0.0
45,-0.0195331575349116
46,-0.0244224100034246
47,-0.1761510984978153
48,-0.044057176424517
49,-0.2699651499533752
50,0.2418566356198213
51,-0.2217637957710195
52,-0.2170767004341616
53,0.0748870238863835
54,0.2035872590454645
55,-0.0773714344663979
56,0.1596456895663828
57,0.2030065527431488
58,-0.2266464058515969
59,0.0952037875669011
60,0.1772275447563757
61,0.1461913311105394
62,-0.143833153541892
63,-0.0359712230215792
64,-0.0231297062527241
65,0.2077349199835869
66,-0.0494191581089826
67,-0.0224309619135618
68,0.0307881773399026
69,0.0
70,0.3069367710251659
71,0.061349693251536
72,-0.0383582662063616
73,-0.3412706558554819
74,-0.0924594205876344
75,0.063672637745142
76,-0.5291456857557434
77,0.0703609731135762
78,0.0191856746962336
79,-0.2564650566360431
80,-0.0855614973261983
81,0.5784526391901721
82,-0.2857874082921071
83,-0.0469423462638096
84,0.2766192867477987
85,-0.0425749318801065
86,-0.040462550844389
87,0.1764455782312891
88,0.1273885350318519
89,0.0933310707619204
90,0.1101788287142939
91,-0.0423944378497517
92,-0.0296849158220572
93,0.1312891749957658
94,-0.0784114268760473
95,-0.0997030123037817
96,0.2644663069924892
97,0.0528652992175935
98,-0.0486597414686697
99,0.1626394052044571
100,-0.1002973098828623
101,0.1805667292392939
102,0.0536049316537141
103,0.1249219237976143
104,0.0735605537103588
105,-0.0468331846565647
106,-0.0580175837907776
107,-0.0401821591213516
108,0.1515691868758931
109,0.0178284899269123
110,0.2711472640796485
111,-0.0667200427008298
112,-0.2094940940494757
113,-0.0490545843738785
114,0.0156058410433604
115,0.0445682451253456
116,-0.0066856837225826
117,0.0734884756708571
118,-0.0958494940038355
119,0.0846325167037851
120,0.015587770280801
121,0.0422917686862836
122,-0.1873243833905657
123,0.1469671328048383
124,-0.0267284390591599
125,-0.4920514761544265
126,0.1942795466810651
127,0.1965906336681553
128,-0.0701215782044234
129,0.061998384056026
130,0.180122052853729
131,-0.2614555256064764
132,0.2459166701172815
133,0.1785925170433133
134,0.0107347968439752
135,-0.0590762620837882
136,0.1983169855818216
137,0.1070835787332103
138,-0.0642914545941626
139,0.0002143043893743
140,0.2456309122975913
141,-0.2410800385728153
142,0.2766886475379825
143,0.1824338737201452
144,0.0746030054353545
145,0.0798679516532696
146,-0.0825983853347905
147,0.0319633486934993
148,-0.3233392122280956
149,-0.0641745547890285
150,0.0893617021276629
151,-0.1790433967090065
152,-0.4754358161648235
153,-0.1544335292351187
154,-0.6346054222068845
155,-0.1599861633588343
156,0.4090948238739078
157,-0.519435546705908
158,0.2116539242365257
159,0.0
160,-0.1384142912755712
161,-0.0302872966424338
