,time,close,volume
0,570,0.39329942503316984,167233
1,585,0.9256723448540274,83848
2,600,0.06021458287716972,134847
3,615,0.359986909566923,106579
4,630,-0.2624958985015803,115968
5,645,-0.010938525486769981,150968
6,660,-0.3953437294091801,70110
7,675,-0.4744565817058444,58653
8,690,-0.016553550736633636,51870
9,705,0.19824880224682725,73467
10,720,0.04953764861294771,57129
11,735,-0.022021581149537804,51360
12,750,0.30735455543359075,60922
13,765,-0.44101433296581194,50352
14,780,-0.033087018859602,36501
15,795,-0.2432283029297942,28910
16,810,0.11043622308116435,38089
17,825,0.05518763796909179,52884
18,840,-0.13262599469494954,42241
19,855,-0.6238948386881605,53658
20,870,-0.5018441935844395,112144
21,885,-1.0503727128981166,168988
22,900,-0.41964386979698826,273560
23,915,0.04534633261534072,115777
24,930,0.07929315813322088,158425
