time,open,high,low,close,volume
570,50.2,50.2,50.04,50.07,299927
585,50.08,50.09,50.0,50.06,69131
600,50.05,50.22,50.02,50.2,64381
615,50.19,50.29,50.17,50.26,52393
630,50.26,50.29,50.23,50.28,45632
645,50.275,50.29,50.18,50.29,85709
660,50.285,50.32,50.27,50.3,41021
675,50.29,50.33,50.26,50.32,73985
690,50.32,50.33,50.19,50.19,31358
705,50.19,50.19,50.08,50.09,24986
720,50.09,50.09,50.01,50.02,28807
735,50.0101,50.08,50.0101,50.07,30487
750,50.06,50.06,50.0,50.02,13862
765,50.01,50.02,49.99,49.995,12715
780,49.99,50.0,49.97,49.98,9633
795,49.98,50.0,49.89,50.0,39415
810,50.0,50.02,49.9701,50.0,39680
825,50.0,50.0,49.93,49.988,52408
840,49.9864,50.0,49.97,49.97,30578
855,49.97,50.0,49.93,49.99,25322
870,49.99,50.0,49.96,49.96,39972
885,49.96,49.99,49.92,49.97,42047
900,49.9799,49.98,49.91,49.91,31705
915,49.92,49.93,49.81,49.86,51672
930,49.86,49.91,49.86,49.9,28475
945,49.9,49.95,49.89,49.95,119093
