time,open,high,low,close,volume
570,132.02,132.3,130.98,132.3,10218
585,132.28,132.78,132.122,132.78,4600
601,132.76,132.81,131.05,131.83,13715
616,131.81,131.81,130.71,131.3,9900
630,131.3,131.4371,130.29,130.8,8895
645,130.61,130.61,129.63,130.59,11800
660,130.59,130.74,130.3,130.5,21069
678,130.47,130.47,129.57,129.57,13033
690,129.75,130.71,129.72,130.16,18444
705,130.335,131.4,130.335,131.4,19006
720,131.4,131.8499,131.3,131.715,6420
735,131.83,132.07,131.715,131.99,6278
750,131.88,132.2,131.7,131.795,4610
767,131.91,132.01,131.85,131.99,2900
780,132.01,132.19,131.58,131.7722,9918
796,131.94,131.94,131.38,131.56,5000
811,131.64,131.79,131.54,131.565,2000
826,131.58,131.6,131.34,131.6,4809
840,131.6,131.7,131.49,131.635,19735
855,131.59,131.72,131.07,131.26,32410
871,131.29,131.41,131.22,131.27,3200
886,131.22,131.42,131.205,131.25,3301
900,131.21,131.46,131.03,131.09,5500
915,131.22,131.22,130.93,131.12,5446
930,131.04,131.41,131.01,131.18,18211
945,131.105,132.02,130.971,131.92,38701
