time,open,high,low,close,volume
570,39.865,39.95,39.3814,39.61,1187160
585,39.63,39.66,39.215,39.3,1018533
600,39.3,39.51,38.9,38.91,1047708
615,38.905,39.15,38.74,39.0,1335411
630,38.995,39.21,38.86,38.95,647653
645,38.96,39.18,38.87,39.14,592744
660,39.14,39.24,39.06,39.15,353323
675,39.13,39.255,39.1,39.17,260977
690,39.17,39.17,39.025,39.0945,424267
705,39.1,39.24,39.08,39.17,303645
720,39.16,39.26,39.1,39.2444,352574
735,39.25,39.53,39.22,39.27,318098
750,39.27,39.31,39.175,39.2202,236633
765,39.22,39.3,39.14,39.2,197833
780,39.2,39.35,39.2,39.35,207023
795,39.345,39.39,39.15,39.19,347906
810,39.18,39.24,39.1,39.2,177798
825,39.2,39.24,39.1132,39.16,151810
840,39.15,39.23,39.1201,39.2,156598
855,39.2,39.26,39.18,39.2,269934
870,39.195,39.3,39.19,39.27,178792
885,39.26,39.38,39.26,39.35,185099
900,39.35,39.37,39.23,39.25,221683
915,39.255,39.36,39.24,39.28,201535
930,39.28,39.38,39.2,39.305,305022
945,39.305,39.44,39.22,39.225,1159459
