time,open,high,low,close,volume
570,5.82,5.83,5.77,5.805,944213
585,5.81,5.8171,5.79,5.8,936717
600,5.805,5.84,5.8,5.825,712057
615,5.83,5.84,5.81,5.815,1078526
630,5.815,5.83,5.81,5.815,1210260
645,5.82,5.82,5.81,5.815,385947
660,5.815,5.82,5.81,5.815,502044
675,5.815,5.82,5.81,5.815,247686
690,5.815,5.82,5.8,5.805,404417
705,5.8,5.81,5.7946,5.795,509298
720,5.8,5.8,5.79,5.79,112914
735,5.79,5.81,5.78,5.785,1634435
750,5.785,5.8,5.78,5.8,264748
765,5.795,5.81,5.795,5.81,229226
780,5.81,5.82,5.805,5.81,897825
795,5.81,5.84,5.81,5.835,755066
810,5.84,5.84,5.83,5.83,1020712
825,5.8328,5.835,5.81,5.81,570862
840,5.815,5.82,5.81,5.82,149861
855,5.81,5.83,5.81,5.825,310911
870,5.82,5.83,5.82,5.83,209408
885,5.83,5.83,5.82,5.83,194933
900,5.825,5.84,5.82,5.84,443174
915,5.835,5.84,5.82,5.825,480285
930,5.825,5.84,5.82,5.835,795007
945,5.84,5.84,5.82,5.83,1835440
