time,open,high,low,close,volume
570,52.21,52.46,51.86,52.445,23199
585,52.375,52.44,51.87,51.91,47668
600,51.91,52.74,51.83,52.4,63635
615,52.4,52.91,52.27,52.73,86214
630,52.73,53.69,52.7,53.61,83438
645,53.61,54.01,53.32,53.95,92396
660,53.9,54.58,53.9,54.3,132626
675,54.28,54.28,54.01,54.015,25452
690,53.99,54.07,53.79,53.8,43211
705,53.79,54.03,53.75,53.95,39852
720,53.94,54.35,53.885,54.31,40161
735,54.32,54.56,54.3,54.56,27367
750,54.52,54.67,54.45,54.535,56424
766,54.55,54.72,54.475,54.64,26818
780,54.69,55.0,54.67,54.935,30522
795,54.96,55.0,54.715,54.79,32495
810,54.84,55.03,54.79,55.03,26605
825,55.02,55.165,54.9,55.04,89892
840,55.05,55.75,55.03,55.75,93151
855,55.76,55.89,55.06,55.165,111409
870,55.16,55.25,54.67,54.81,64625
885,54.86,55.315,54.78,54.78,67305
900,54.77,54.96,54.77,54.88,28157
915,54.88,55.27,54.8,55.09,68110
930,55.09,55.09,54.72,54.82,60622
945,54.815,54.815,54.04,54.43,242470
